ix,iy,clng,clat,town,official_count,immovable_count,museum_count,historical_area_count,historical_street_count
0,10,112.84025,22.84525,西樵镇,1,0,0,1,0
0,11,112.84025,22.84975,西樵镇,1,0,0,1,0
1,9,112.84475,22.84075,未标注,0,0,0,0,0
1,10,112.84475,22.84525,西樵镇,1,0,0,1,0
1,11,112.84475,22.84975,西樵镇,1,0,0,1,0
2,9,112.84925,22.84075,未标注,0,0,0,0,0
2,10,112.84925,22.84525,西樵镇,1,0,0,1,0
2,11,112.84925,22.84975,西樵镇,1,0,0,1,0
2,12,112.84925,22.85425,西樵镇,1,0,0,1,0
3,9,112.85375,22.84075,西樵镇,1,0,0,1,0
3,10,112.85375,22.84525,西樵镇,1,0,0,1,0
3,11,112.85375,22.84975,西樵镇,1,0,0,1,0
3,12,112.85375,22.85425,西樵镇,1,0,0,1,0
3,13,112.85375,22.85875,西樵镇,1,0,0,1,0
4,8,112.85825,22.83625,未标注,0,0,0,0,0
4,9,112.85825,22.84075,西樵镇,1,0,0,1,0
4,10,112.85825,22.84525,西樵镇,1,0,0,1,0
4,11,112.85825,22.84975,西樵镇,1,0,0,1,0
4,12,112.85825,22.85425,西樵镇,1,0,0,1,0
4,13,112.85825,22.85875,西樵镇,1,0,0,1,0
4,14,112.85825,22.86325,西樵镇,1,0,0,1,0
5,8,112.86275,22.83625,未标注,0,0,0,0,0
5,9,112.86275,22.84075,西樵镇,1,0,0,1,0
5,10,112.86275,22.84525,西樵镇,1,0,0,1,0
5,11,112.86275,22.84975,西樵镇,1,0,0,1,0
5,12,112.86275,22.85425,西樵镇,1,0,0,1,0
5,13,112.86275,22.85875,西樵镇,1,0,0,1,0
5,14,112.86275,22.86325,西樵镇,1,0,0,1,0
5,15,112.86275,22.86775,西樵镇,1,0,0,1,0
5,16,112.86275,22.87225,西樵镇,1,0,0,1,0
5,17,112.86275,22.87675,西樵镇,1,0,0,1,0
6,8,112.86725,22.83625,未标注,0,0,0,0,0
6,9,112.86725,22.84075,未标注,0,0,0,0,0
6,10,112.86725,22.84525,未标注,0,0,0,0,0
6,11,112.86725,22.84975,西樵镇,1,0,0,1,0
6,12,112.86725,22.85425,西樵镇,1,0,0,1,0
6,13,112.86725,22.85875,西樵镇,1,0,0,1,0
6,14,112.86725,22.86325,西樵镇,1,0,0,1,0
6,15,112.86725,22.86775,西樵镇,1,0,0,1,0
6,16,112.86725,22.87225,西樵镇,1,0,0,1,0
6,17,112.86725,22.87675,西樵镇,1,0,0,1,0
6,18,112.86725,22.88125,西樵镇,1,0,0,1,0
6,65,112.86725,23.09275,丹灶镇,0,0,0,0,0
6,66,112.86725,23.09725,丹灶镇,0,0,0,0,0
7,10,112.87175,22.84525,未标注,0,0,0,0,0
7,11,112.87175,22.84975,西樵镇,1,0,0,1,0
7,12,112.87175,22.85425,西樵镇,1,0,0,1,0
7,13,112.87175,22.85875,西樵镇,1,0,0,1,0
7,14,112.87175,22.86325,西樵镇,1,0,0,1,0
7,15,112.87175,22.86775,西樵镇,1,0,0,1,0
7,16,112.87175,22.87225,西樵镇,1,0,0,1,0
7,17,112.87175,22.87675,西樵镇,1,0,0,1,0
7,18,112.87175,22.88125,西樵镇,1,0,0,1,0
7,30,112.87175,22.93525,西樵镇,1,0,0,1,0
7,31,112.87175,22.93975,西樵镇,1,0,0,1,0
7,32,112.87175,22.94425,西樵镇,1,0,0,1,0
7,33,112.87175,22.94875,西樵镇,1,0,0,1,0
7,34,112.87175,22.95325,西樵镇,1,0,0,1,0
7,54,112.87175,23.04325,丹灶镇,0,0,0,0,0
7,63,112.87175,23.08375,丹灶镇,0,0,0,0,0
7,64,112.87175,23.08825,丹灶镇,0,0,0,0,0
7,65,112.87175,23.09275,丹灶镇,0,0,0,0,0
7,66,112.87175,23.09725,丹灶镇,0,0,0,0,0
8,11,112.87625,22.84975,未标注,0,0,0,0,0
8,12,112.87625,22.85425,西樵镇,1,0,0,1,0
8,13,112.87625,22.85875,西樵镇,1,0,0,1,0
8,14,112.87625,22.86325,西樵镇,1,0,0,1,0
8,15,112.87625,22.86775,西樵镇,1,0,0,1,0
8,16,112.87625,22.87225,西樵镇,1,0,0,1,0
8,17,112.87625,22.87675,西樵镇,1,0,0,1,0
8,18,112.87625,22.88125,西樵镇,1,0,0,1,0
8,28,112.87625,22.92625,西樵镇,1,0,0,1,0
8,29,112.87625,22.93075,西樵镇,1,0,0,1,0
8,30,112.87625,22.93525,西樵镇,1,0,0,1,0
8,31,112.87625,22.93975,西樵镇,1,0,0,1,0
8,32,112.87625,22.94425,西樵镇,1,0,0,1,0
8,33,112.87625,22.94875,西樵镇,1,0,0,1,0
8,34,112.87625,22.95325,西樵镇,1,0,0,1,0
8,52,112.87625,23.03425,丹灶镇,0,0,0,0,0
8,53,112.87625,23.03875,丹灶镇,0,0,0,0,0
8,54,112.87625,23.04325,丹灶镇,0,0,0,0,0
8,55,112.87625,23.04775,丹灶镇,0,0,0,0,0
8,56,112.87625,23.05225,丹灶镇,0,0,0,0,0
8,57,112.87625,23.05675,丹灶镇,0,0,0,0,0
8,58,112.87625,23.06125,丹灶镇,0,0,0,0,0
8,59,112.87625,23.06575,丹灶镇,0,0,0,0,0
8,60,112.87625,23.07025,丹灶镇,0,0,0,0,0
8,61,112.87625,23.07475,丹灶镇,0,0,0,0,0
8,62,112.87625,23.07925,丹灶镇,0,0,0,0,0
8,63,112.87625,23.08375,丹灶镇,0,0,0,0,0
