id,name,anchor_type,sub_type,protection_level,town,lng,lat,cmi_raw_mentions,cmi_direct_degree,cmi_freq_component,cmi_degree_component,cmi,oai,poi_count_500m,avg_rating_500m,review_total_500m,thi,mi,mi_category,entity_hit_sample,poi_hit_sample
ANC_0056,西樵山抗日阵亡将士暨死难同胞纪念碑,不可移动文物,近现代重要史迹及代表性建筑,市级文物保护单位,西樵镇,112.981405,22.934668,593.0,435,99.28,97.61,98.61,50.0,20,4.383,13.0,65.58,-8.73,核心耦合区,樵山|纪念碑|西樵|西樵山,西樵镇-醒狮之乡|四面佛|西樵山古遗址|玉岩|碧玉洞
ANC_0039,西樵山百步云梯,不可移动文物,古建筑,市级文物保护单位,西樵镇,112.981144,22.937175,593.0,433,99.28,97.53,98.58,50.0,23,4.4,13.0,66.51,-7.78,核心耦合区,樵山|百步云梯|西樵|西樵山,西樵镇-醒狮之乡|西樵山古遗址|西樵山文化娱乐广场|西樵山国家地质公园管理委员会|玉岩
ANC_0069,九江吴家大院,不可移动文物,近现代重要史迹及代表性建筑,省级文物保护单位,九江镇,113.017758,22.833102,97.0,61,71.27,66.28,69.28,75.0,22,3.743,17.0,66.04,-6.1,核心耦合区,九江,红棉公园|吴家大院|九江侨乡博物馆|卓弘艺术空间|九江自助图书馆(儒林东路)(暂停营业)
NH_0037,平洲传统玉器制作技艺,非遗项目,传统技艺,市级非物质文化遗产代表性项目,桂城街道,113.201638,23.029502,47.0,26,60.18,52.93,57.28,50.0,55,3.833,3.0,56.63,2.99,核心耦合区,平洲,纯阳古庙|中国农业银行(南海平东支行)|GP综合格斗职业训练基地|黄树华咏春拳馆|昇宝百货(海天广场店)
ANC_0001,云泉仙馆,不可移动文物,古建筑,省级文物保护单位,西樵镇,112.96566,22.932927,88.0,82,69.78,70.97,70.25,75.0,37,4.056,35.0,77.78,5.15,核心耦合区,云泉仙馆|西樵山云泉仙馆,西樵山风景名胜区-樵园公园|茶花园|天湖公园|西樵山-听音湖|白云洞风景区
ANC_0006,南蛇岗遗址,不可移动文物,古遗址,省级文物保护单位,西樵镇,112.995224,22.921764,0.0,0,0.0,0.0,0.0,75.0,0,0.0,0.0,0.0,-37.5,一般耦合区,,
NH_0016,家具制作技艺（广式家具制作技艺）,非遗项目,传统技艺,省级非物质文化遗产代表性项目,九江镇,113.015887,22.807144,0.0,0,0.0,0.0,0.0,75.0,0,0.0,0.0,0.0,-37.5,一般耦合区,,
ANC_0005,鱿鱼岗遗址,不可移动文物,古遗址,省级文物保护单位,西樵镇,112.914946,22.957935,0.0,0,0.0,0.0,0.0,75.0,3,0.0,0.0,8.95,-28.55,一般耦合区,,读书驿站(西樵百西社区站)|大地公园|黎氏二世公祠
NH_0042,周家拳,非遗项目,传统体育,市级非物质文化遗产代表性项目,九江镇,112.954252,22.882018,0.0,0,0.0,0.0,0.0,50.0,1,0.0,0.0,4.48,-20.52,一般耦合区,,烟桥北闸街坊会
NH_0041,烧番塔（仙岗）,非遗项目,民俗,市级非物质文化遗产代表性项目,丹灶镇,112.890063,23.043853,0.0,0,0.0,0.0,0.0,50.0,1,0.0,0.0,4.48,-20.52,一般耦合区,,南海实验学校
