id,name,type,description,confidence,mentions,is_anchor
1,康有为,人物,清末维新变法领袖，南海丹灶人,0.95,1430,0
2,西樵山,地名,南海区著名山川，岭南文化重要地标,0.95,700,0
3,佛山,地名,佛山市南海区的地名,0.95,475,0
4,云泉仙馆,建筑遗迹,西樵山清代道观，省级文保单位,0.95,398,1
5,黄飞鸿,人物,清末武术家，佛山著名武师,0.95,381,0
6,邹伯奇,人物,清代南海县志绘图，生员,0.95,352,0
7,祖庙,建筑遗迹,佛山祖庙，现存古建筑占地约3600平方米，明代开始逐步扩建而成,1.0,336,0
8,佛山祖庙,建筑遗迹,佛山地区的传统庙宇，书中全面论述其历史、艺术与社会关系,0.95,245,0
9,戴鸿慈,人物,清代官员，考取乡试第一名,0.95,208,0
10,南海县,地名,清代南海行政建制，会馆建设主体,0.95,186,0
11,九江,地名,佛山市九江镇，著名古镇,0.95,159,0
12,南海,地名,佛山市南海区的地名,0.95,159,0
13,陈启沅,人物,晚清著名实业家，佛山南海人,0.95,149,0
14,朱次琦,人物,进士，倡建里老张良万董事修堤筑闸,0.95,145,0
15,灵应祠,建筑遗迹,明代建筑，曾被尚书李待问捐修,0.95,131,0
16,黄少强,人物,广东画家，提出‘到民间去’的创作口号,0.95,129,0
17,詹天佑,人物,著名工程师，被誉为'中国铁道工程之父',0.95,129,0
18,孙中山,人物,中国民主革命先行者，创立中国同盟会，领导辛亥革命,0.95,126,0
19,梁启超,人物,清末维新变法领袖，南海人,0.95,124,0
20,九江镇,地名,南海区镇街，县境全图包含该地理实体,0.95,121,0
21,石景宜,人物,南海西樵人，从书贩到博士的文化书使,0.95,112,0
22,西樵,地名,西樵山旧址，有大科、雲谷、霍文敏四峯、石泉等书院校址,0.95,106,0
23,石门中学,地名,三十年代初，南海二、三、九区创办一所中学，名为石门中学,0.95,103,0
24,佛山忠义乡志,典籍作品,佛山地区的方志书籍，记录了佛山的历史文化,0.95,101,0
25,朱九江,人物,著名经学大师、教育家和爱国思想家，与陈渡并称岭南两大侍是,0.95,99,0
26,北帝,人物,佛山民间信仰中的重要神明，受到佛山人的广泛崇拜,0.95,89,0
27,广州,地名,广东省省会，19世纪中期面临英法联军的侵略,0.95,88,0
28,粤剧,非遗技艺,广东地方传统戏曲之一，以唱做念打为表演形式,0.95,87,0
29,简村,地名,南海区的一个乡镇,0.95,84,0
30,民国,朝代年号,民国时期方志修纂延续发展,0.95,83,0
31,南狮,非遗技艺,南海地区的传统舞狮技艺,0.95,82,0
32,佛山镇,地名,佛山市南海区的旧称,0.95,78,0
33,万福台,建筑遗迹,建于清初顺治十五年，实际上是灵应祠前照壁的后墙,0.95,71,0
34,康有为故居,建筑遗迹,清代建筑，康有为的故居,0.95,70,1
35,南海县志,典籍作品,记载南海地区历史地理的方志文献,0.95,67,0
36,白云洞,地名,西樵山中的一个著名景点，历史上有多个旅游服务点设立于此,0.95,66,0
37,《南海县志》,典籍作品,南海区地方志文献,0.95,62,0
38,石湾,地名,佛山市禅城区的地名,0.95,62,0
39,龙舟,非遗技艺,南海区传统水上运动，与端午节相关,0.95,62,0
40,姚大宁,人物,清代武状元，出生在南海区和顺镇,0.95,62,0
41,桑园围,建筑遗迹,清代珠江三角洲地区重要的水利工程，位于南海区西北部,0.95,59,0
42,大沥,地名,佛山市南海区的一个镇街,0.95,56,0
43,九江龙舟队,非遗技艺,南海区传统龙舟文化的重要组成部分，多次在国内外赛事中取得佳绩,0.95,54,0
44,清代,朝代年号,清代方志发展达到鼎盛时期,0.95,52,0
45,光绪,朝代年号,清朝的一个年号,0.95,52,0
46,戊戌变法,历史事件,晚清时期的重要政治事件,0.95,51,0
47,盐步,地名,佛山市南海区的一个镇,0.95,50,0
48,万木草堂,建筑遗迹,康有为在广州创办的学堂，省级文保单位,0.9,49,0
49,官山,地名,南海县的一个地点，抗日救亡团体活动基地,0.95,48,0
50,南海中学,建筑遗迹,由旅港南海商会资助的学校，建有教学大楼、宿舍和课室,0.95,47,0
51,何启,人物,辛亥革命前支持孙中山革命思想的人物之一,0.95,46,0
52,松塘村,地名,南海区内的村落,0.95,45,0
53,舞狮,非遗技艺,中国传统的民间舞蹈表演，国家级非物质文化遗产,0.95,45,0
54,罗村,地名,佛山市南海区的一个镇,0.95,44,0
55,里水,地名,佛山市南海区下属镇街,0.95,44,0
56,三湖书院,建筑遗迹,西樵山上的古书院之一，与白云古寺、云泉仙馆等并列名胜古迹,0.95,43,0
57,官窑,地名,南海区传统镇街,0.95,42,0
58,高剑父,人物,画家，与罗原觉求教,0.95,42,0
59,平洲,地名,邵而迁居地,0.95,41,0
60,香港,地名,展览举办地之一,0.95,40,0
61,丹灶,地名,参赛镇区,0.95,39,0
62,学海堂,建筑遗迹,王山之麓的教育机构,0.95,38,0
63,醒狮,非遗技艺,广东音乐曲目之一，成为经典名曲,0.95,38,0
64,方献夫,人物,正德九年登进士，官至吏部左侍郎、礼部尚书、太子太保。世居丹灶。,0.95,38,0
65,九江双蒸酒,物产饮食,南海区特色酒类，曾获省级奖项,0.95,38,0
66,祠堂,建筑遗迹,家族聚会和接待重要宾客的厅堂以及若干座文化教育科技卫生体育,0.95,37,0
67,陈子壮,人物,明代阁部官员，朱氏之子,0.95,37,0
68,李待问,人物,明代官员，捐修佛山祖庙门楼和灵应祠鼓楼,0.95,37,0
69,大魁堂,建筑遗迹,祖庙内支给款由的地点,0.95,37,0
70,南海龙狮,非遗技艺,南海地区的传统民俗活动，包括龙舟和舞狮,0.95,37,0
71,佛山市志,典籍作品,佛山市的官方历史文献,0.95,36,0
72,苏六朋,人物,民国时期著名画家，其绘画与人生经历被研究,0.95,36,0
73,林世荣,人物,弟子之一，与梁宽等并列最负盛名,0.95,36,0
74,西江,地名,珠江主干流之一，佛山地区重要水道,0.95,35,0
75,西樵镇,地名,佛山市南海区的地名,0.95,35,1
76,生菜会,非遗技艺,南海地区历史悠久的民俗活动，与生财吉祥有关,0.95,34,0
77,吴荣光,人物,清代诗人,0.95,34,0
78,灰塑,非遗技艺,岭南传统建筑装饰艺术，国家级非物质文化遗产,0.95,34,0
79,庆真楼,建筑遗迹,祖庙现存古建筑之一，清代所建,0.95,34,0
80,民乐,地名,位于南海区的城镇，原称民乐市，现为民乐镇,0.95,34,0
81,官山圩,地名,西樵山下的一个圩市，历史上曾是行政中心,0.95,34,1
82,佛山市,地名,佛山市作为政治、经济、文化中心,0.95,33,0
83,继昌隆,宗族姓氏,陈启沅创办的缫丝厂名称,0.95,33,0
84,盐步老龙,非遗技艺,南海区传统龙舟活动中的老龙角色,0.95,33,0
85,何香凝,人物,革命人士，坚决执行和捍卫孙中山三大政策,0.95,32,0
86,公车上书,历史事件,康有为等维新派联合上书光绪帝的事件,0.97,32,0
87,关祥,人物,南海区南海中学离休处级教师，《西机志》主编,0.95,32,0
88,九江堡,地名,九江镇历史聚落，曾设守备署,0.95,31,0
89,《出使九国日记》,典籍作品,戴鸿慈所著，记载其出使经历,0.95,31,0
90,京张铁路,建筑遗迹,詹天佑主持修建的重要铁路工程,0.95,31,0
91,乾隆,朝代年号,清朝第五位皇帝，1736-1796年在位,0.95,30,0
92,李子长,人物,明代中叶著名画家，因科场经历弃官卖鱼为生,0.95,30,0
93,谢兰生,人物,清代画家，擅长山水画，与弟观生齐名,0.95,30,0
94,北帝庙,建筑遗迹,供奉北帝的庙宇,0.95,29,0
95,灵应牌坊,建筑遗迹,清代佛山祖庙中轴线上的主要建筑之一,0.95,29,0
96,民国《佛山忠义乡志》,典籍作品,民国时期编撰的佛山地方志书籍,0.95,29,0
97,顺德,地名,佛山市下辖县,0.95,29,0
98,张之洞,人物,晚清重臣，两广总督,0.95,29,0
99,袁世凯,人物,晚清北洋系重要政治人物，中华民国第一任正式大总统,0.95,29,0
100,洗玉清,人物,中国近代著名作家、文学评论家,0.95,29,0
101,高奇峰,人物,画家，与罗原觉求教,0.95,29,0
102,黎简,人物,清代中期著名画家，擅长山水画,0.95,29,0
103,里水镇,地名,佛山市南海区的镇街之一,0.95,29,0
104,桂城,地名,参赛镇区,0.95,29,0
105,阮元,人物,清代学者、官员，字伯元，广东南海人,0.95,28,0
106,林良,人物,明代宫廷最为出色的院体花鸟画家，广东籍画家,0.95,28,0
107,薛觉先,人物,新珠的得意门生，擅长演关公戏,0.95,28,0
108,招子庸,人物,广东新会人，佛山镇画家，擅长山水画,0.95,28,0
109,伦文叙,人物,嘉靖年间官员，伦文叙是伦考的第三子,0.95,28,0
110,南庄,地名,南海区的一个镇街,0.95,28,0
111,松岗,地名,佛山市南海区下属镇街,0.95,28,0
112,黄萧养,人物,明代农民起义领袖,0.95,27,0
113,梁佩兰,人物,清代诗人，南海人，顺治丁酉解元，康熙戊辰进士,0.95,27,0
114,李鸿章,人物,清末官员，直隶总督，曾推荐张萌桓,0.95,27,0
115,中山公园,建筑遗迹,纪念孙中山而建的公园，位于佛山市城区北面，临汾江河，原面积5000平方米，现已成为佛山市城区最大的综合性娱乐游览场,0.95,27,0
116,小塘,地名,南海区的一个镇街,0.95,27,0
117,道光,朝代年号,清朝年号，道光年间,0.95,26,0
118,乾隆《佛山忠义乡志》,典籍作品,清代乾隆年间编撰的佛山地方志书籍,0.95,26,0
119,北帝诞,非遗技艺,佛山北帝崇拜的民间仪式之一,0.95,26,0
120,黄飞鸿狮艺武术馆,建筑遗迹,西樵山上的武术文化景点,0.95,26,0
121,沙头,地名,崔氏的籍贯所在,0.95,25,0
122,吴勤,人物,革命烈士,0.95,25,0
123,简朝亮,人物,清代学者，字季纪，号竹居人，南海顺北深德简岸村人，朱九江的高足,0.95,25,0
124,光绪帝,人物,清末皇帝，戊戌变法的发起者之一,0.95,25,0
125,谭嗣同,人物,戊戌六君子之一，维新变法的倡导者,0.95,25,0
126,苏村,地名,南海区村落，苏姓最大，又称苏村,0.95,25,0
127,梁宽,人物,弟子之一，与林世荣等并列最负盛名,0.95,25,0
128,《康南海自编年谱》,典籍作品,康有为自述生平的文献资料,0.95,24,0
129,珠江三角洲,地名,广东省南部的一个地理区域，以龙舟文化著称,0.95,24,0
130,罗浮山,地名,位于广东，有道观和佛教名寺,0.95,24,0
131,邵汉生,人物,清末民初的拳师，习武并推广南拳,0.95,24,0
132,文化大革命,历史事件,1966年至1976年中国国内发生的政治运动,0.95,24,0
133,陈凝丹,人物,国画家,0.95,24,0
134,和顺,地名,佛山市南海区下属镇街,0.95,24,0
135,桂园文化宫,建筑遗迹,南海区的文化活动场所,0.95,24,0
136,凌风,人物,南海县文艺界代表，出席市级会议,0.95,24,0
137,丹灶镇,地名,佛山市南海区的一个镇,0.95,24,0
138,钟江洪,人物,洪拳师傅，原名钟雄，曾任镖局总镖头,0.95,24,0
