id,name,type,mentions,confidence,source_count,weight,sources
E0001,南海,地点,7092,0.95,50,111344.4,南海县志(OCR);中枢与象征_佛山祖庙;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海传说篇;南海美食_南海特产篇;南海美食_南海美食篇;南海美食南海特产南海传说_合辑;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;南海龙狮南海衣冠南海古村_南海衣冠篇;南海龙狮南海衣冠南海古村_南海龙狮篇;大德南海志_维基文库;南海文史资料_第10辑_陈启沅与南海县纺织工业史专辑;南海文史资料_第11辑_(南海县政协文史资料研究委员会编);南海文史资料_第12辑_纪念康有为诞辰一百三十周年、戊戌维新运动九十周年专辑;南海文史资料_第13辑_(南海县政协文史资料研究委员会编);南海文史资料_第14辑_(南海县政协文史资料委员会编);南海文史资料_第15辑_(南海县政协文史资料委员会编);南海文史资料_第16辑_(南海县政协文史资料研究委员会);南海文史资料_第17辑_(南海县政协文史资料研究委员会);南海文史资料_第18辑_(南海县政协文史资料委员会编);南海文史资料_第19辑_(南海县政协文史资料委员会编);南海文史资料_第1辑_(政协南海县委员会文史组);南海文史资料_第20辑_(广东省南海县政协文史资料委员会编);南海文史资料_第21辑_(广东省南海市政协文史资料委员会编);南海文史资料_第22辑_(广东省南海市政协文史资料委员会编);南海文史资料_第23辑_石景宜先生传;南海文史资料_第24辑_蚕桑谱专辑;南海文史资料_第25辑_(广东省南海市政协文史资料委员会编);南海文史资料_第26辑_黄少强画传;南海文史资料_第27辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第28辑_纪念詹天佑诞辰一百三十五周年特辑;南海文史资料_第29辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第2辑_(政协南海县委员会文史组);南海文史资料_第30辑_近代改革的先驱者康有为;南海文史资料_第31辑_南海黄飞鸿传;南海文史资料_第34辑_(广东省南海市政协文史和学习委员会);南海文史资料_第36辑_纪念戴鸿慈诞辰一百五十周年特辑;南海文史资料_第37辑_后门中学七十年 1932年-2002年;南海文史资料_第3辑_西樵山专辑;南海文史资料_第5辑_(政协南海县委员会文史组编);南海文史资料_第6辑_(政协南海县委员会文史组编);南海文史资料_第8辑_(政协南海县委员会文史组)
E0002,佛山,地点,6897,0.95,44,95868.3,南海县志(OCR);中国旅行_广州佛山;中枢与象征_佛山祖庙;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海市西樵山旅游度假区志;南海美食_南海传说篇;南海美食_南海特产篇;南海美食_南海美食篇;南海美食南海特产南海传说_合辑;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;南海龙狮南海衣冠南海古村_南海衣冠篇;南海龙狮南海衣冠南海古村_南海龙狮篇;岭南文化知识书系_佛山祖庙;南海文史资料_第10辑_陈启沅与南海县纺织工业史专辑;南海文史资料_第11辑_(南海县政协文史资料研究委员会编);南海文史资料_第13辑_(南海县政协文史资料研究委员会编);南海文史资料_第14辑_(南海县政协文史资料委员会编);南海文史资料_第15辑_(南海县政协文史资料委员会编);南海文史资料_第17辑_(南海县政协文史资料研究委员会);南海文史资料_第18辑_(南海县政协文史资料委员会编);南海文史资料_第19辑_(南海县政协文史资料委员会编);南海文史资料_第1辑_(政协南海县委员会文史组);南海文史资料_第20辑_(广东省南海县政协文史资料委员会编);南海文史资料_第21辑_(广东省南海市政协文史资料委员会编);南海文史资料_第23辑_石景宜先生传;南海文史资料_第25辑_(广东省南海市政协文史资料委员会编);南海文史资料_第26辑_黄少强画传;南海文史资料_第29辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第2辑_(政协南海县委员会文史组);南海文史资料_第31辑_南海黄飞鸿传;南海文史资料_第34辑_(广东省南海市政协文史和学习委员会);南海文史资料_第36辑_纪念戴鸿慈诞辰一百五十周年特辑;南海文史资料_第37辑_后门中学七十年 1932年-2002年;南海文史资料_第3辑_西樵山专辑;南海文史资料_第5辑_(政协南海县委员会文史组编);南海文史资料_第6辑_(政协南海县委员会文史组编);南海文史资料_第8辑_(政协南海县委员会文史组)
E0003,广州,地点,3249,0.95,50,51009.3,中国旅行_广州佛山;中枢与象征_佛山祖庙;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海传说篇;南海美食_南海特产篇;南海美食_南海美食篇;南海美食南海特产南海传说_合辑;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;南海龙狮南海衣冠南海古村_南海衣冠篇;南海龙狮南海衣冠南海古村_南海龙狮篇;大德南海志_维基文库;岭南文化知识书系_佛山祖庙;南海文史资料_第10辑_陈启沅与南海县纺织工业史专辑;南海文史资料_第11辑_(南海县政协文史资料研究委员会编);南海文史资料_第12辑_纪念康有为诞辰一百三十周年、戊戌维新运动九十周年专辑;南海文史资料_第13辑_(南海县政协文史资料研究委员会编);南海文史资料_第14辑_(南海县政协文史资料委员会编);南海文史资料_第15辑_(南海县政协文史资料委员会编);南海文史资料_第16辑_(南海县政协文史资料研究委员会);南海文史资料_第17辑_(南海县政协文史资料研究委员会);南海文史资料_第18辑_(南海县政协文史资料委员会编);南海文史资料_第19辑_(南海县政协文史资料委员会编);南海文史资料_第1辑_(政协南海县委员会文史组);南海文史资料_第20辑_(广东省南海县政协文史资料委员会编);南海文史资料_第21辑_(广东省南海市政协文史资料委员会编);南海文史资料_第22辑_(广东省南海市政协文史资料委员会编);南海文史资料_第23辑_石景宜先生传;南海文史资料_第25辑_(广东省南海市政协文史资料委员会编);南海文史资料_第26辑_黄少强画传;南海文史资料_第27辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第28辑_纪念詹天佑诞辰一百三十五周年特辑;南海文史资料_第29辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第2辑_(政协南海县委员会文史组);南海文史资料_第30辑_近代改革的先驱者康有为;南海文史资料_第31辑_南海黄飞鸿传;南海文史资料_第34辑_(广东省南海市政协文史和学习委员会);南海文史资料_第37辑_后门中学七十年 1932年-2002年;南海文史资料_第3辑_西樵山专辑;南海文史资料_第5辑_(政协南海县委员会文史组编);南海文史资料_第6辑_(政协南海县委员会文史组编);南海文史资料_第8辑_(政协南海县委员会文史组)
E0004,广东,地点,3054,0.95,51,48864.0,中国旅行_广州佛山;中枢与象征_佛山祖庙;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海传说篇;南海美食_南海特产篇;南海美食_南海美食篇;南海美食南海特产南海传说_合辑;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;南海龙狮南海衣冠南海古村_南海衣冠篇;南海龙狮南海衣冠南海古村_南海龙狮篇;大德南海志_维基文库;岭南文化知识书系_佛山祖庙;南海文史资料_第10辑_陈启沅与南海县纺织工业史专辑;南海文史资料_第11辑_(南海县政协文史资料研究委员会编);南海文史资料_第12辑_纪念康有为诞辰一百三十周年、戊戌维新运动九十周年专辑;南海文史资料_第13辑_(南海县政协文史资料研究委员会编);南海文史资料_第14辑_(南海县政协文史资料委员会编);南海文史资料_第15辑_(南海县政协文史资料委员会编);南海文史资料_第17辑_(南海县政协文史资料研究委员会);南海文史资料_第18辑_(南海县政协文史资料委员会编);南海文史资料_第19辑_(南海县政协文史资料委员会编);南海文史资料_第1辑_(政协南海县委员会文史组);南海文史资料_第20辑_(广东省南海县政协文史资料委员会编);南海文史资料_第21辑_(广东省南海市政协文史资料委员会编);南海文史资料_第22辑_(广东省南海市政协文史资料委员会编);南海文史资料_第23辑_石景宜先生传;南海文史资料_第24辑_蚕桑谱专辑;南海文史资料_第25辑_(广东省南海市政协文史资料委员会编);南海文史资料_第26辑_黄少强画传;南海文史资料_第27辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第28辑_纪念詹天佑诞辰一百三十五周年特辑;南海文史资料_第29辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第2辑_(政协南海县委员会文史组);南海文史资料_第30辑_近代改革的先驱者康有为;南海文史资料_第31辑_南海黄飞鸿传;南海文史资料_第34辑_(广东省南海市政协文史和学习委员会);南海文史资料_第36辑_纪念戴鸿慈诞辰一百五十周年特辑;南海文史资料_第37辑_后门中学七十年 1932年-2002年;南海文史资料_第3辑_西樵山专辑;南海文史资料_第5辑_(政协南海县委员会文史组编);南海文史资料_第6辑_(政协南海县委员会文史组编);南海文史资料_第8辑_(政协南海县委员会文史组)
E0005,先生,人物,2454,0.7,37,28957.2,南海县志(OCR);中枢与象征_佛山祖庙;佛山历史人物录;佛山市博物馆藏绘画;佛山文史资料;南海市文化艺术志;南海文史资料_邹伯奇;南海美食_南海传说篇;南海美食_南海美食篇;南海美食南海特产南海传说_合辑;南海非遗_南海书画篇;大德南海志_维基文库;南海文史资料_第11辑_(南海县政协文史资料研究委员会编);南海文史资料_第12辑_纪念康有为诞辰一百三十周年、戊戌维新运动九十周年专辑;南海文史资料_第13辑_(南海县政协文史资料研究委员会编);南海文史资料_第14辑_(南海县政协文史资料委员会编);南海文史资料_第15辑_(南海县政协文史资料委员会编);南海文史资料_第16辑_(南海县政协文史资料研究委员会);南海文史资料_第17辑_(南海县政协文史资料研究委员会);南海文史资料_第18辑_(南海县政协文史资料委员会编);南海文史资料_第1辑_(政协南海县委员会文史组);南海文史资料_第20辑_(广东省南海县政协文史资料委员会编);南海文史资料_第22辑_(广东省南海市政协文史资料委员会编);南海文史资料_第23辑_石景宜先生传;南海文史资料_第25辑_(广东省南海市政协文史资料委员会编);南海文史资料_第26辑_黄少强画传;南海文史资料_第27辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第28辑_纪念詹天佑诞辰一百三十五周年特辑;南海文史资料_第29辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第2辑_(政协南海县委员会文史组);南海文史资料_第30辑_近代改革的先驱者康有为;南海文史资料_第31辑_南海黄飞鸿传;南海文史资料_第34辑_(广东省南海市政协文史和学习委员会);南海文史资料_第37辑_后门中学七十年 1932年-2002年;南海文史资料_第3辑_西樵山专辑;南海文史资料_第6辑_(政协南海县委员会文史组编);南海文史资料_第8辑_(政协南海县委员会文史组)
E0006,九江,地点,1687,0.8,33,17882.2,南海县志(OCR);南海市文化艺术志;南海市西樵山旅游度假区志;南海美食_南海传说篇;南海美食_南海特产篇;南海美食_南海美食篇;南海美食南海特产南海传说_合辑;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;南海龙狮南海衣冠南海古村_南海衣冠篇;南海龙狮南海衣冠南海古村_南海龙狮篇;南海文史资料_第10辑_陈启沅与南海县纺织工业史专辑;南海文史资料_第11辑_(南海县政协文史资料研究委员会编);南海文史资料_第12辑_纪念康有为诞辰一百三十周年、戊戌维新运动九十周年专辑;南海文史资料_第13辑_(南海县政协文史资料研究委员会编);南海文史资料_第14辑_(南海县政协文史资料委员会编);南海文史资料_第15辑_(南海县政协文史资料委员会编);南海文史资料_第17辑_(南海县政协文史资料研究委员会);南海文史资料_第18辑_(南海县政协文史资料委员会编);南海文史资料_第19辑_(南海县政协文史资料委员会编);南海文史资料_第1辑_(政协南海县委员会文史组);南海文史资料_第20辑_(广东省南海县政协文史资料委员会编);南海文史资料_第21辑_(广东省南海市政协文史资料委员会编);南海文史资料_第22辑_(广东省南海市政协文史资料委员会编);南海文史资料_第25辑_(广东省南海市政协文史资料委员会编);南海文史资料_第27辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第2辑_(政协南海县委员会文史组);南海文史资料_第30辑_近代改革的先驱者康有为;南海文史资料_第34辑_(广东省南海市政协文史和学习委员会);南海文史资料_第3辑_西樵山专辑;南海文史资料_第5辑_(政协南海县委员会文史组编);南海文史资料_第6辑_(政协南海县委员会文史组编);南海文史资料_第8辑_(政协南海县委员会文史组)
E0007,康有为,人物,2400,0.95,21,16800.0,佛山文史资料;南海市文化艺术志;南海美食_南海传说篇;南海美食南海特产南海传说_合辑;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海衣冠篇;南海文史资料_第12辑_纪念康有为诞辰一百三十周年、戊戌维新运动九十周年专辑;南海文史资料_第13辑_(南海县政协文史资料研究委员会编);南海文史资料_第14辑_(南海县政协文史资料委员会编);南海文史资料_第15辑_(南海县政协文史资料委员会编);南海文史资料_第18辑_(南海县政协文史资料委员会编);南海文史资料_第1辑_(政协南海县委员会文史组);南海文史资料_第22辑_(广东省南海市政协文史资料委员会编);南海文史资料_第23辑_石景宜先生传;南海文史资料_第25辑_(广东省南海市政协文史资料委员会编);南海文史资料_第27辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第2辑_(政协南海县委员会文史组);南海文史资料_第30辑_近代改革的先驱者康有为;南海文史资料_第36辑_纪念戴鸿慈诞辰一百五十周年特辑;南海文史资料_第3辑_西樵山专辑;南海文史资料_第8辑_(政协南海县委员会文史组)
E0008,南海县,地点,1557,0.8,33,16504.2,佛山历史人物录;佛山市志_上;佛山文史资料;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海特产篇;大德南海志_维基文库;南海文史资料_第10辑_陈启沅与南海县纺织工业史专辑;南海文史资料_第11辑_(南海县政协文史资料研究委员会编);南海文史资料_第12辑_纪念康有为诞辰一百三十周年、戊戌维新运动九十周年专辑;南海文史资料_第13辑_(南海县政协文史资料研究委员会编);南海文史资料_第14辑_(南海县政协文史资料委员会编);南海文史资料_第15辑_(南海县政协文史资料委员会编);南海文史资料_第16辑_(南海县政协文史资料研究委员会);南海文史资料_第17辑_(南海县政协文史资料研究委员会);南海文史资料_第18辑_(南海县政协文史资料委员会编);南海文史资料_第19辑_(南海县政协文史资料委员会编);南海文史资料_第1辑_(政协南海县委员会文史组);南海文史资料_第20辑_(广东省南海县政协文史资料委员会编);南海文史资料_第21辑_(广东省南海市政协文史资料委员会编);南海文史资料_第22辑_(广东省南海市政协文史资料委员会编);南海文史资料_第23辑_石景宜先生传;南海文史资料_第25辑_(广东省南海市政协文史资料委员会编);南海文史资料_第28辑_纪念詹天佑诞辰一百三十五周年特辑;南海文史资料_第29辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第2辑_(政协南海县委员会文史组);南海文史资料_第34辑_(广东省南海市政协文史和学习委员会);南海文史资料_第37辑_后门中学七十年 1932年-2002年;南海文史资料_第3辑_西樵山专辑;南海文史资料_第5辑_(政协南海县委员会文史组编);南海文史资料_第6辑_(政协南海县委员会文史组编);南海文史资料_第8辑_(政协南海县委员会文史组)
E0009,民国,朝代,1296,0.95,33,13737.6,中枢与象征_佛山祖庙;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海市西樵山旅游度假区志;南海美食_南海特产篇;南海龙狮南海衣冠南海古村_南海古村篇;南海龙狮南海衣冠南海古村_南海衣冠篇;南海龙狮南海衣冠南海古村_南海龙狮篇;岭南文化知识书系_佛山祖庙;南海文史资料_第10辑_陈启沅与南海县纺织工业史专辑;南海文史资料_第11辑_(南海县政协文史资料研究委员会编);南海文史资料_第12辑_纪念康有为诞辰一百三十周年、戊戌维新运动九十周年专辑;南海文史资料_第13辑_(南海县政协文史资料研究委员会编);南海文史资料_第14辑_(南海县政协文史资料委员会编);南海文史资料_第15辑_(南海县政协文史资料委员会编);南海文史资料_第18辑_(南海县政协文史资料委员会编);南海文史资料_第19辑_(南海县政协文史资料委员会编);南海文史资料_第1辑_(政协南海县委员会文史组);南海文史资料_第20辑_(广东省南海县政协文史资料委员会编);南海文史资料_第25辑_(广东省南海市政协文史资料委员会编);南海文史资料_第26辑_黄少强画传;南海文史资料_第28辑_纪念詹天佑诞辰一百三十五周年特辑;南海文史资料_第2辑_(政协南海县委员会文史组);南海文史资料_第34辑_(广东省南海市政协文史和学习委员会);南海文史资料_第37辑_后门中学七十年 1932年-2002年;南海文史资料_第5辑_(政协南海县委员会文史组编);南海文史资料_第6辑_(政协南海县委员会文史组编);南海文史资料_第8辑_(政协南海县委员会文史组)
E0010,岭南,地点,647,0.95,27,5693.6,中枢与象征_佛山祖庙;佛山历史人物录;佛山市博物馆藏绘画;佛山祖庙;南海文史资料_邹伯奇;南海美食_南海传说篇;南海美食_南海特产篇;南海美食_南海美食篇;南海美食南海特产南海传说_合辑;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;南海龙狮南海衣冠南海古村_南海衣冠篇;南海龙狮南海衣冠南海古村_南海龙狮篇;大德南海志_维基文库;岭南文化知识书系_佛山祖庙;南海文史资料_第13辑_(南海县政协文史资料研究委员会编);南海文史资料_第15辑_(南海县政协文史资料委员会编);南海文史资料_第18辑_(南海县政协文史资料委员会编);南海文史资料_第20辑_(广东省南海县政协文史资料委员会编);南海文史资料_第25辑_(广东省南海市政协文史资料委员会编);南海文史资料_第26辑_黄少强画传;南海文史资料_第27辑_(广东省南海市政协文史和学习委员会编);南海文史资料_第31辑_南海黄飞鸿传;南海文史资料_第34辑_(广东省南海市政协文史和学习委员会);南海文史资料_第3辑_西樵山专辑;南海文史资料_第6辑_(政协南海县委员会文史组编);南海文史资料_第8辑_(政协南海县委员会文史组)
