name,category,town,rating,has_nonheritage,total_score,level,score_rating,score_review,score_positive,score_culture,score_photos
西樵山风景名胜区,自然景观,西樵镇,4.7,False,73.2,高,94.0,100.0,100.0,0,0.0
千灯湖公园,自然景观,桂城街道,4.7,False,73.2,高,94.0,100.0,100.0,0,0.0
九江双蒸博物馆,自然景观,九江镇,4.4,True,72.9,高,88.0,50.0,100.0,45,0.0
中央电视台南海影视城,自然景观,狮山镇,4.6,False,72.6,高,92.0,100.0,100.0,0,0.0
南海湾森林生态园,自然景观,西樵镇,4.5,False,72.0,高,90.0,100.0,100.0,0,0.0
黄飞鸿狮艺武术馆,非遗体验,西樵镇,4.5,False,72.0,高,90.0,100.0,100.0,0,0.0
南海湿地主题公园,自然景观,狮山镇,4.2,False,70.2,高,84.0,100.0,100.0,0,0.0
南海观音寺,自然景观,大沥镇,4.7,False,66.5,高,94.0,55.0,100.0,0,0.0
西樵龙狮武术运动协会青联龙狮训练基地,非遗体验,西樵镇,4.5,True,66.0,高,90.0,0.0,100.0,45,0.0
佛山市南海劲道咏春拳馆,自然景观,大沥镇,4.5,True,66.0,高,90.0,0.0,100.0,45,0.0
佛山植物园,自然景观,狮山镇,4.6,False,65.8,高,92.0,55.0,100.0,0,0.0
天湖公园,自然景观,西樵镇,4.2,False,65.7,高,84.0,70.0,100.0,0,0.0
佛山非遗洪拳馆,自然景观,桂城街道,4.4,True,65.4,高,88.0,0.0,100.0,45,0.0
九江璜矶龙舟训练基地,自然景观,九江镇,4.4,True,65.4,高,88.0,0.0,100.0,45,0.0
九江龙舟研学营地,自然景观,九江镇,4.4,True,65.4,高,88.0,0.0,100.0,45,0.0
广府龙舟文化(纳德利)体验基地,非遗体验,里水镇,4.4,True,65.4,高,88.0,0.0,100.0,45,0.0
佛山聚谊武术龙狮团,自然景观,大沥镇,4.4,True,65.4,高,88.0,0.0,100.0,45,0.0
三山森林公园,自然景观,桂城街道,4.6,False,65.1,高,92.0,50.0,100.0,0,0.0
展旗峰生态公园,自然景观,里水镇,4.6,False,65.1,高,92.0,50.0,100.0,0,0.0
南海鹿尔花园,休闲娱乐,大沥镇,4.7,False,65.0,高,94.0,45.0,100.0,0,0.0
罗村咏春体育公园文化广场,自然景观,狮山镇,4.3,True,64.8,高,86.0,0.0,100.0,45,0.0
麻奢龙舟基地,非遗体验,里水镇,4.3,True,64.8,高,86.0,0.0,100.0,45,0.0
南海黄飞鸿中联龙狮训练俱乐部,非遗体验,西樵镇,4.3,True,64.8,高,86.0,0.0,100.0,45,0.0
洲表村西里聚英堂龙狮团训练基地,非遗体验,桂城街道,4.3,True,64.8,高,86.0,0.0,100.0,45,0.0
佛山忠艺龙狮训练基地,自然景观,大沥镇,4.3,True,64.8,高,86.0,0.0,100.0,45,0.0
西樵尚武白眉武馆,非遗体验,西樵镇,4.3,True,64.8,高,86.0,0.0,100.0,45,0.0
千灯湖公园北区,自然景观,桂城街道,4.5,False,64.5,高,90.0,50.0,100.0,0,0.0
西樵山森吧飞越树上探险乐园,自然景观,西樵镇,4.5,False,64.5,高,90.0,50.0,100.0,0,0.0
文翰湖公园,自然景观,桂城街道,4.6,False,64.3,高,92.0,45.0,100.0,0,0.0
源林·九江龙舟公园,自然景观,九江镇,4.2,True,64.2,高,84.0,0.0,100.0,45,0.0
黄岐龙母庙,自然景观,大沥镇,4.2,True,64.2,高,84.0,0.0,100.0,45,0.0
沙溪罡毅龙狮训练基地,自然景观,里水镇,4.2,True,64.2,高,84.0,0.0,100.0,45,0.0
叶问宗师馆,自然景观,狮山镇,4.3,True,64.1,高,86.0,50.0,100.0,45,0.0
映月湖公园,自然景观,桂城街道,4.4,False,63.9,高,88.0,50.0,100.0,0,0.0
荷村龙舟基地,非遗体验,狮山镇,4.1,True,63.6,高,82.0,0.0,100.0,45,0.0
沙步龙舟训练基地,非遗体验,里水镇,4.1,True,63.6,高,82.0,0.0,100.0,45,0.0
上林龙舟俱乐部,非遗体验,丹灶镇,4.1,True,63.6,高,82.0,0.0,100.0,45,0.0
狮南龙舟训练基地,非遗体验,狮山镇,4.1,True,63.6,高,82.0,0.0,100.0,45,0.0
佛山恒胜咏春拳馆,自然景观,狮山镇,4.1,True,63.6,高,82.0,0.0,100.0,45,0.0
郭氏咏春拳会,非遗体验,桂城街道,4.1,True,63.4,高,82.0,0.0,100.0,45,0.0
