ix,iy,town,clng,clat,poi_count,poi_with_seed,n_entity_0hop,n_entity_within_1hop,n_entity_within_2hop,mentions_0hop,mentions_within_1hop,mentions_within_2hop,official_0hop,official_within_1hop,official_within_2hop
18,78,丹灶镇,112.90325,23.13325,2,2,3,30,1270,21,2552,15273,2,22,901
18,77,丹灶镇,112.90325,23.12875,2,1,3,30,1270,21,2552,15273,2,22,901
19,77,丹灶镇,112.90775,23.12875,1,1,3,30,1270,21,2552,15273,2,22,901
15,59,丹灶镇,112.88975,23.04775,1,1,3,57,1241,120,1838,14669,3,49,779
14,60,丹灶镇,112.88525,23.05225,1,1,2,52,1240,112,1826,14659,2,44,779
19,59,丹灶镇,112.90775,23.04775,4,4,5,96,1188,129,2475,14770,4,80,884
21,59,丹灶镇,112.91675,23.04775,4,4,5,96,1188,129,2475,14770,4,80,884
20,60,丹灶镇,112.91225,23.05225,4,2,5,96,1188,129,2475,14770,4,80,884
20,58,丹灶镇,112.91225,23.04325,10,10,5,96,1188,129,2475,14770,4,80,884
20,59,丹灶镇,112.91225,23.04775,6,6,5,96,1188,129,2475,14770,4,80,884
21,58,丹灶镇,112.91675,23.04325,40,25,4,84,1148,111,2330,14477,4,73,857
19,58,丹灶镇,112.90775,23.04325,2,1,2,55,927,59,1712,13022,2,46,693
27,68,丹灶镇,112.94375,23.08825,1,1,2,10,820,10,1531,12069,2,6,592
18,53,丹灶镇,112.90325,23.02075,4,4,1,10,807,35,1232,11858,1,8,464
20,53,丹灶镇,112.91225,23.02075,2,1,1,10,807,35,1232,11858,1,8,464
19,53,丹灶镇,112.90775,23.02075,3,3,1,10,807,35,1232,11858,1,8,464
17,53,丹灶镇,112.89875,23.02075,7,2,1,10,807,35,1232,11858,1,8,464
19,54,丹灶镇,112.90775,23.02525,1,1,1,10,807,35,1232,11858,1,8,464
14,59,丹灶镇,112.88525,23.04775,1,1,1,7,375,4,492,5895,1,6,270
13,58,丹灶镇,112.88075,23.04325,4,2,1,7,375,4,492,5895,1,6,270
16,54,丹灶镇,112.89425,23.02525,1,1,1,7,334,3,637,7065,1,5,239
17,54,丹灶镇,112.89875,23.02525,14,7,1,7,334,3,637,7065,1,5,239
21,54,丹灶镇,112.91675,23.02525,2,2,1,7,326,4,563,6950,1,4,241
20,54,丹灶镇,112.91225,23.02525,1,1,1,7,326,4,563,6950,1,4,241
29,55,丹灶镇,112.95275,23.02975,2,2,1,6,298,4,543,6625,1,4,210
28,55,丹灶镇,112.94825,23.02975,3,1,1,6,298,4,543,6625,1,4,210
28,54,丹灶镇,112.94825,23.02525,2,1,1,6,298,4,543,6625,1,4,210
14,57,丹灶镇,112.88525,23.03875,3,3,1,9,57,8,113,2138,1,8,45
24,68,丹灶镇,112.93025,23.08825,1,1,1,1,1,2,2,2,1,1,1
24,69,丹灶镇,112.93025,23.09275,2,2,1,1,1,2,2,2,1,1,1
25,68,丹灶镇,112.93475,23.08825,2,2,1,1,1,2,2,2,1,1,1
23,68,丹灶镇,112.92575,23.08825,1,1,1,1,1,2,2,2,1,1,1
32,65,丹灶镇,112.96625,23.07475,1,0,0,0,0,0,0,0,0,0,0
28,60,丹灶镇,112.94825,23.05225,3,0,0,0,0,0,0,0,0,0,0
30,59,丹灶镇,112.95725,23.04775,2,0,0,0,0,0,0,0,0,0,0
30,58,丹灶镇,112.95725,23.04325,1,0,0,0,0,0,0,0,0,0,0
15,60,丹灶镇,112.88975,23.05225,3,0,0,0,0,0,0,0,0,0,0
32,66,丹灶镇,112.96625,23.07925,1,0,0,0,0,0,0,0,0,0,0
32,64,丹灶镇,112.96625,23.07025,1,0,0,0,0,0,0,0,0,0,0
31,61,丹灶镇,112.96175,23.05675,2,0,0,0,0,0,0,0,0,0,0
26,67,丹灶镇,112.93925,23.08375,1,0,0,0,0,0,0,0,0,0,0
16,60,丹灶镇,112.89425,23.05225,3,0,0,0,0,0,0,0,0,0,0
31,62,丹灶镇,112.96175,23.06125,4,0,0,0,0,0,0,0,0,0,0
22,57,丹灶镇,112.92125,23.03875,4,0,0,0,0,0,0,0,0,0,0
27,59,丹灶镇,112.94375,23.04775,2,0,0,0,0,0,0,0,0,0,0
19,60,丹灶镇,112.90775,23.05225,1,0,0,0,0,0,0,0,0,0,0
17,65,丹灶镇,112.89875,23.07475,1,0,0,0,0,0,0,0,0,0,0
30,62,丹灶镇,112.95725,23.06125,7,0,0,0,0,0,0,0,0,0,0
22,56,丹灶镇,112.92125,23.03425,1,0,0,0,0,0,0,0,0,0,0
23,74,丹灶镇,112.92575,23.11525,3,0,0,0,0,0,0,0,0,0,0
15,53,丹灶镇,112.88975,23.02075,1,0,0,0,0,0,0,0,0,0,0
17,61,丹灶镇,112.89875,23.05675,1,0,0,0,0,0,0,0,0,0,0
12,61,丹灶镇,112.87625,23.05675,3,0,0,0,0,0,0,0,0,0,0
17,60,丹灶镇,112.89875,23.05225,1,0,0,0,0,0,0,0,0,0,0
25,59,丹灶镇,112.93475,23.04775,7,0,0,0,0,0,0,0,0,0,0
17,55,丹灶镇,112.89875,23.02975,1,0,0,0,0,0,0,0,0,0,0
18,62,丹灶镇,112.90325,23.06125,2,0,0,0,0,0,0,0,0,0,0
18,76,丹灶镇,112.90325,23.12425,3,0,0,0,0,0,0,0,0,0,0
30,67,丹灶镇,112.95725,23.08375,5,0,0,0,0,0,0,0,0,0,0
25,71,丹灶镇,112.93475,23.10175,1,0,0,0,0,0,0,0,0,0,0
23,64,丹灶镇,112.92575,23.07025,1,0,0,0,0,0,0,0,0,0,0
22,75,丹灶镇,112.92125,23.11975,7,0,0,0,0,0,0,0,0,0,0
29,66,丹灶镇,112.95275,23.07925,1,0,0,0,0,0,0,0,0,0,0
24,47,丹灶镇,112.93025,22.99375,1,0,0,0,0,0,0,0,0,0,0
32,55,丹灶镇,112.96625,23.02975,1,0,0,0,0,0,0,0,0,0,0
18,63,丹灶镇,112.90325,23.06575,1,0,0,0,0,0,0,0,0,0,0
30,52,丹灶镇,112.95725,23.01625,1,0,0,0,0,0,0,0,0,0,0
35,56,丹灶镇,112.97975,23.03425,1,0,0,0,0,0,0,0,0,0,0
32,54,丹灶镇,112.96625,23.02525,1,0,0,0,0,0,0,0,0,0,0
23,65,丹灶镇,112.92575,23.07475,1,0,0,0,0,0,0,0,0,0,0
33,63,丹灶镇,112.97075,23.06575,3,0,0,0,0,0,0,0,0,0,0
