ix,iy,clng,clat,town,anchor_count,anchor_names,n_entity_0hop,n_entity_1hop,mentions_0hop,mentions_1hop,official_0hop,official_1hop,poi_count,avg_rating,review_total,culture_0hop,culture_1hop,tourism,mismatch_0hop,mismatch_1hop,category_0hop,category_1hop
0,10,112.84025,22.84525,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
0,11,112.84025,22.84975,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
1,9,112.84475,22.84075,未标注,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
1,10,112.84475,22.84525,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
1,11,112.84475,22.84975,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
2,9,112.84925,22.84075,未标注,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
2,10,112.84925,22.84525,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
2,11,112.84925,22.84975,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
2,12,112.84925,22.85425,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
3,9,112.85375,22.84075,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
3,10,112.85375,22.84525,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
3,11,112.85375,22.84975,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
3,12,112.85375,22.85425,西樵镇,0,,0,0,0,0,0,0,1,3.9,1,0.0,0.0,25.34,25.34,25.34,一般地带,一般地带
3,13,112.85375,22.85875,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
4,8,112.85825,22.83625,未标注,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
4,9,112.85825,22.84075,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
4,10,112.85825,22.84525,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
4,11,112.85825,22.84975,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
4,12,112.85825,22.85425,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
4,13,112.85825,22.85875,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
4,14,112.85825,22.86325,西樵镇,0,,0,0,0,0,0,0,1,0.0,0,0.0,0.0,5.16,5.16,5.16,双低空白,双低空白
5,8,112.86275,22.83625,未标注,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
5,9,112.86275,22.84075,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
5,10,112.86275,22.84525,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
5,11,112.86275,22.84975,西樵镇,0,,0,0,0,0,0,0,2,0.0,0,0.0,0.0,8.18,8.18,8.18,双低空白,双低空白
5,12,112.86275,22.85425,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
5,13,112.86275,22.85875,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
5,14,112.86275,22.86325,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
5,15,112.86275,22.86775,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
5,16,112.86275,22.87225,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
5,17,112.86275,22.87675,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
6,8,112.86725,22.83625,未标注,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
6,9,112.86725,22.84075,未标注,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
6,10,112.86725,22.84525,未标注,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
6,11,112.86725,22.84975,西樵镇,0,,0,0,0,0,0,0,7,0.0,0,0.0,0.0,15.49,15.49,15.49,双低空白,双低空白
6,12,112.86725,22.85425,西樵镇,0,,0,0,0,0,0,0,7,0.0,0,0.0,0.0,15.49,15.49,15.49,双低空白,双低空白
6,13,112.86725,22.85875,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
6,14,112.86725,22.86325,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
6,15,112.86725,22.86775,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
6,16,112.86725,22.87225,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
6,17,112.86725,22.87675,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
6,18,112.86725,22.88125,西樵镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
6,65,112.86725,23.09275,丹灶镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
6,66,112.86725,23.09725,丹灶镇,0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,双低空白,双低空白
