name,level,level_score,town,poi_match,rating,review_count,positive_rate
西樵山风景名胜区,5A,100,西樵镇,西樵山国艺影视城-地藏菩萨,3.4,102,100.0
听音湖,4A,80,西樵镇,西樵山-听音湖,4.6,11,
南国桃园,4A,80,里水镇,南国桃园-南海观音寺-三圣殿,4.4,14,100.0
佛山中央电视台南海影视城,4A,80,西樵镇,中央电视台南海影视城,4.6,35,100.0
南海影视城,4A,80,西樵镇,中央电视台南海影视城,4.6,170,15.0
千灯湖,4A,80,桂城街道,千灯湖公园北区,4.5,10,
平洲玉器街,3A,60,桂城街道,平洲玉器街景区游客中心,0,10,
松塘村,3A,60,西樵镇,,,20,
烟桥古村,3A,60,九江镇,烟桥古村,4.4,10,100.0
康有为故居,3A,60,丹灶镇,康有为故居(东南门),0,32,9.1
康有为故居纪念馆,3A,60,丹灶镇,康有为故居(东南门),0,0,0
九江双蒸博物馆,3A,60,九江镇,九江双蒸博物馆,4.4,11,100.0
翰林湖农业公园,3A,60,九江镇,翰林湖农业公园,0,10,
仙湖旅游度假区,3A,60,丹灶镇,,,0,0
仙岗村,2A,40,丹灶镇,仙岗村村史馆,3.6,1,0.0
吴家大院,2A,40,九江镇,吴家大院,4.3,11,100.0
