name,level,town,cmi_raw_mentions,cmi_direct_degree,cmi_freq_component,cmi_degree_component,cmi,entity_hit_sample
狮舞（广东醒狮）,国家级,西樵镇,73.0,43,67.44,62.29,65.38,广东醒狮|醒狮
十番音乐（佛山十番）,国家级,桂城街道,20.0,14,47.71,44.57,46.45,佛山十番|十番|十番音乐
官窑生菜会,省级,狮山镇,63.0,47,65.17,63.72,64.59,官窑|官窑生菜会|生菜|生菜会
灯会（乐安花灯会）,省级,桂城街道,12.0,12,40.19,42.22,41.0,乐安花灯|乐安花灯会|花灯
九江双蒸酒酿制技艺,省级,九江镇,104.0,63,72.93,68.46,71.14,九江|九江双蒸酒|双蒸酒
赛龙舟（九江传统龙舟）,省级,九江镇,164.0,114,80.01,78.1,79.25,九江|赛龙|赛龙舟|龙舟
端午节（盐步老龙礼俗）,省级,大沥镇,117.0,66,74.75,69.21,72.54,盐步|盐步老龙|端午节
咏春拳（叶问宗支）,省级,桂城街道,23.0,12,49.8,42.22,46.77,叶问|咏春|咏春拳
藤编,省级,大沥镇;里水镇,6.0,6,30.49,32.03,31.11,藤编
金箔锻造技艺,省级,大沥镇,2.0,4,17.21,26.49,20.93,金箔锻造技艺
庙会（大仙诞庙会）,省级,西樵镇,13.0,8,41.35,36.17,39.28,大仙诞|庙会
粤曲,省级,桂城街道,51.0,33,61.91,58.04,60.37,《李少芳粤曲从艺录》|粤曲
糕点制作技艺（九江煎堆制作技艺）,省级,九江镇,100.0,65,72.32,68.96,70.97,九江|九江煎堆
九江鱼花生产习俗,省级,九江镇,106.0,67,73.22,69.45,71.71,九江|九江鱼花
家具制作技艺（广式家具制作技艺）,省级,九江镇,0.0,0,0.0,0.0,0.0,
洪拳（南海洪拳）,省级,西樵镇,38.0,12,57.41,42.22,51.33,洪拳
龙舟说唱,市级,桂城街道,59.0,53,64.16,65.66,64.76,龙舟|龙舟说唱
白眉拳,市级,里水镇,7.0,5,32.58,29.49,31.35,白眉拳
大头佛,市级,西樵镇,21.0,10,48.44,39.47,44.85,大头佛|舞大头佛
南海灰塑,市级,狮山镇,54.0,37,62.79,59.87,61.63,灰塑
三山咸水歌,市级,桂城街道,12.0,12,40.19,42.22,41.0,三山
西樵传统缫丝技艺,市级,西樵镇,101.0,74,72.47,71.07,71.91,西樵
麦边舞龙,市级,里水镇,22.0,15,49.13,45.64,47.73,舞龙|麦边舞龙队
南海竹编,市级,丹灶镇,0.0,0,0.0,0.0,0.0,
西樵大饼制作技艺,市级,西樵镇,111.0,79,73.94,72.13,73.21,西樵|西樵大饼
香云纱（坯纱）织造技艺,市级,西樵镇,21.0,23,48.44,52.31,49.99,云纱|香云纱
九江灯谜,市级,九江镇,97.0,61,71.84,67.93,70.28,九江
丹灶葛洪炼丹传说,市级,丹灶镇,58.0,29,63.89,55.98,60.73,丹灶|葛洪
华岳心意六合八法拳,市级,大沥镇,0.0,0,0.0,0.0,0.0,
叠滘弯道赛龙船,市级,桂城街道,11.0,18,38.94,48.47,42.75,叠滘|赛龙|赛龙船
祠堂祭祖（平地黄氏冬祭）,市级,大沥镇,56.0,41,63.35,61.52,62.62,祠堂|祭祖|黄氏
黄岐龙母诞,市级,大沥镇,40.0,16,58.19,46.63,53.57,黄岐|黄岐龙母|黄岐龙母诞|龙母|龙母诞
烧番塔（松塘）,市级,西樵镇,3.0,2,21.72,18.08,20.27,松塘
赤山跳火光习俗,市级,桂城街道,2.0,1,17.21,11.41,14.89,赤山
唢呐制作技艺,市级,桂城街道,0.0,0,0.0,0.0,0.0,
平洲传统玉器制作技艺,市级,桂城街道,47.0,26,60.66,54.25,58.1,平洲
广绣（石石肯）,市级,桂城街道,9.0,3,36.08,22.82,30.78,广绣
佛山十番（同乐堂十番）,市级,桂城街道,17.0,12,45.29,42.22,44.06,佛山十番|十番
北村生菜会,市级,大沥镇,38.0,32,57.41,57.55,57.46,北村|生菜|生菜会
烧番塔（仙岗）,市级,丹灶镇,0.0,0,0.0,0.0,0.0,
周家拳,市级,九江镇,0.0,0,0.0,0.0,0.0,
九江鱼筛编织技艺,市级,九江镇,102.0,63,72.62,68.46,70.96,九江|九江鱼筛|编织
粤剧,区级,西樵镇,314.0,174,90.14,85.01,88.09,《粤剧史》|义擎天粤剧团|佛山专区青年粤剧团|佛山地区青年粤剧团|佛山粤剧团|佛山青年粤剧团|南海县粤剧团|南海县青年粤剧团
佛鹤狮头制作,区级,桂城街道,10.0,11,37.57,40.9,38.9,佛鹤狮|狮头
赤坎盲公话,区级,大沥镇,0.0,0,0.0,0.0,0.0,
南海农谚,区级,南海区,0.0,0,0.0,0.0,0.0,
西樵山传说,区级,西樵镇,590.0,434,100.0,100.0,100.0,樵山|西樵|西樵山
里水毛巾织造技艺,区级,里水镇,45.0,29,59.99,55.98,58.39,里水|里水毛巾|里水毛巾织造业
