entity_name,entity_type,mentions,source_count,lng,lat,town,match_source,match_id
西樵山,D1 山川水系空间,487,43,112.972653,22.90873,西樵镇,poi_contain,B0IBO9P320
佛山祖庙,B2 宗教建筑类,291,17,113.127735,23.046699,桂城街道,poi_contain,B0FFMCGHJP
九江镇,D2 镇街圩市空间,164,30,113.007293,22.906373,九江镇,poi_contain,B0GUML80X9
西江,D1 山川水系空间,139,30,113.21653,23.031684,桂城街道,poi_contain,B0FFKCKTRX
北江,D1 山川水系空间,106,25,112.988214,23.069751,狮山镇,poi_contain,
祖庙,B2 宗教建筑类,103,14,113.141256,23.030077,桂城街道,poi_contain,B0FFILJ0SJ
西樵,D1 山川水系空间,101,28,112.972653,22.90873,西樵镇,poi_contain,B0IBO9P320
九江,D2 镇街圩市空间,97,37,113.01534,22.835259,九江镇,poi_contain,B0I6ZHKEGN
佛山,D2 镇街圩市空间,88,32,113.009071,23.087814,狮山镇,poi_contain,B0HGSH3UCJ
云泉仙馆,B2 宗教建筑类,86,16,113.03713,22.887626,丹灶镇,poi_exact,B0H3J54DS3
白云洞,D1 山川水系空间,82,14,112.959086,22.937046,西樵镇,poi_contain,B0FFHHHE8Y
丹灶镇,D2 镇街圩市空间,72,19,112.92497,23.061415,丹灶镇,poi_contain,B0H067GUG4
西樵镇,D2 镇街圩市空间,65,20,112.99,22.94,西樵镇,anchor_exact,ANC_0136
大沥,D2 镇街圩市空间,64,21,113.144948,23.114362,大沥镇,poi_contain,B0KKS7457V
简村,B6 古村落与聚落遗产类,59,10,112.950197,22.94808,西樵镇,poi_contain,B0FFKZZLC2
石门中学,B3 纪念性建筑与名人故居类,56,12,113.184287,23.121699,大沥镇,poi_exact,B02F50UERZ
三湖书院,B1 古建筑类,53,15,112.959813,22.935621,西樵镇,poi_exact,B0FFFWF6T4
盐步,D2 镇街圩市空间,52,19,113.168268,23.092854,大沥镇,poi_contain,B0FFL0FJW7
祠堂,B1 古建筑类,51,21,113.002178,23.152173,狮山镇,poi_contain,B0GUCH8DND
平洲,D2 镇街圩市空间,47,14,113.177132,23.035727,桂城街道,poi_contain,B0FFMG6YQA
广州,D2 镇街圩市空间,45,22,113.190809,23.144144,里水镇,poi_contain,B0H0UUMVA7
官山,D2 镇街圩市空间,44,19,113.003022,22.952411,西樵镇,poi_exact,
大沥镇,D2 镇街圩市空间,42,12,113.103797,23.115744,大沥镇,poi_contain,B0FFJRS0UB
里水,D2 镇街圩市空间,40,14,113.147625,23.170075,里水镇,poi_contain,B0L0H1SAMG
丹灶,D2 镇街圩市空间,40,16,112.942281,23.063219,丹灶镇,poi_contain,B0G3Z7ST2S
南海中学,B3 纪念性建筑与名人故居类,37,17,112.999948,22.942728,西樵镇,poi_exact,B02F508QXL
官窑,D2 镇街圩市空间,35,23,113.092972,23.200746,狮山镇,poi_contain,B0KBX7L8SD
珠江三角洲,D1 山川水系空间,35,15,113.193456,23.098816,里水镇,poi_contain,B0FFG48NRZ
康有为故居,B3 纪念性建筑与名人故居类,35,11,112.905461,23.021024,丹灶镇,anchor_exact,ANC_0057
宝芝林,B3 纪念性建筑与名人故居类,35,5,112.979795,22.945807,西樵镇,poi_contain,B0FFK1X256
北帝庙,B2 宗教建筑类,34,9,112.944171,23.030381,丹灶镇,poi_exact,B0FFME2KQ5
罗村,D2 镇街圩市空间,34,12,113.042488,23.049031,狮山镇,poi_contain,B0FFKK8HV1
里水镇,D2 镇街圩市空间,33,16,113.140705,23.176076,里水镇,poi_contain,B0HKZSRCKT
珠江,D1 山川水系空间,31,18,113.072817,23.232562,狮山镇,poi_contain,B0HG2UZPYO
武馆,D4 传承场所与活动场地,30,15,113.129977,23.117915,大沥镇,poi_contain,B0FFFSQEM9
官山圩,D2 镇街圩市空间,29,9,112.975635,22.941597,,anchor_exact,ANC_0159
天后庙,B2 宗教建筑类,28,11,112.901992,23.020149,丹灶镇,poi_exact,B0FFM1XT3R
桂城,D2 镇街圩市空间,27,8,113.236033,23.017917,桂城街道,poi_contain,B0H0RLBAVT
黄飞鸿狮艺武术馆,D4 传承场所与活动场地,27,6,112.945135,22.923938,西樵镇,poi_exact,B02F501SVF
南庄,D2 镇街圩市空间,25,14,113.101194,23.133192,大沥镇,poi_contain,B02F503RDN
松岗,D2 镇街圩市空间,24,14,113.099147,23.135518,大沥镇,poi_contain,B0FFFDSWCS
白云古寺,B2 宗教建筑类,24,7,112.964364,22.933846,nan,anchor_exact,ANC_0015
沙头,D2 镇街圩市空间,23,12,113.007293,22.906373,九江镇,poi_contain,B0GUML80X9
小塘,D2 镇街圩市空间,23,11,112.996401,23.037992,狮山镇,poi_contain,B0FFK7JRA1
观音庙,B2 宗教建筑类,22,11,113.191867,23.026327,桂城街道,poi_exact,B0FFHRPUYH
狮山镇,D2 镇街圩市空间,22,5,113.069862,23.230078,狮山镇,poi_contain,B0FFK4D8L2
民乐,D2 镇街圩市空间,21,6,112.95316,22.962793,西樵镇,poi_contain,
和顺,D2 镇街圩市空间,19,11,113.13986,23.248708,里水镇,poi_contain,B0FFKCKKR4
大科峰,D1 山川水系空间,19,6,112.977414,22.92249,nan,anchor_contain,ANC_0050
官山涌,D1 山川水系空间,19,7,112.906157,23.064392,丹灶镇,poi_contain,B0FFH2EBWQ
