nonheritage,level,category,town,keywords,entity_match_count,total_mentions,matched_entities
粤剧,区级,传统戏剧,西樵镇,粤剧,30,314,粤剧(225)|南海县粤剧团(10)|广东粤剧院(7)|广东粤剧团(6)|广东粤剧学校(5)|广州粤剧团(5)|青年粤剧团(5)|好景象粤剧团(4)|禅工粤剧团(3)|粤剧团(3)|新景象粤剧团(3)|粤剧表演队(2)|《粤剧史》(2)|太平后春粤剧团(2)|新世界粤剧团(2)|大钻石粤剧团(2)|佛山青年粤剧团(2)|娱乐粤剧团(2)|佛山专区青年粤剧团(2)|佛山地区青年粤剧团(2)|广东粤剧博物馆(2)|南海县青年粤剧团(2)|县粤剧团(2)|小粤剧(2)|义擎天粤剧团(2)|海风粤剧团(2)|省粤剧院(2)|周康年粤剧班(2)|新声粤剧团(2)|佛山粤剧团(2)
简村北帝庙会,区级,民俗,狮山镇,北帝庙会,3,152,北帝(109)|北帝庙(34)|庙会(9)
南海醒狮（采青技艺）,区级,传统舞蹈,西樵镇,醒狮|采青技艺,8,111,醒狮(71)|采青(23)|醒狮队(5)|南海醒狮团(3)|黄飞鸿醒狮队(3)|佛山醒狮(2)|广东醒狮(2)|黄飞鸿珠江三角洲醒狮大赛(2)
狮舞（广东醒狮）,国家级,传统舞蹈,西樵镇,狮舞|醒狮,9,92,醒狮(71)|醒狮队(5)|南海醒狮团(3)|黄飞鸿醒狮队(3)|佛山醒狮(2)|广东醒狮(2)|狮舞岭南(2)|黄飞鸿珠江三角洲醒狮大赛(2)|狮舞龙腾(2)
赛龙舟（九江传统龙舟）,省级,传统体育,九江镇,传统龙舟|赛龙舟,3,67,龙舟(52)|赛龙舟(11)|赛龙(4)
传统龙舟（丹灶扒龙舟）,区级,传统体育,丹灶镇,传统龙舟|扒龙舟,2,64,龙舟(52)|扒龙舟(12)
龙舟说唱,市级,曲艺,桂城街道,龙舟说唱,2,59,龙舟(52)|龙舟说唱(7)
南海灰塑,市级,传统美术,狮山镇,灰塑,1,54,灰塑(54)
祠堂祭祖（平地黄氏冬祭）,市级,民俗,大沥镇,冬祭|祠堂祭祖,2,54,祠堂(51)|祭祖(3)
西樵山传说,区级,民间文学,西樵镇,传说,8,53,南海传说(26)|南海传说篇(12)|黄萧养的传说(4)|崩岗的传说(3)|龙母传说(2)|康有为的传说(2)|汉成修的传说(2)|何淡如的传说(2)
粤曲,省级,曲艺,桂城街道,粤曲,2,51,粤曲(48)|《李少芳粤曲从艺录》(3)
松塘村孔子诞,区级,民俗,西樵镇,孔子诞,1,46,孔子(46)
洪拳（南海洪拳）,省级,传统体育,西樵镇,洪拳,1,38,洪拳(38)
洪拳功夫推拿,区级,传统医药,西樵镇,洪拳功夫推拿,1,38,洪拳(38)
端午节（盐步老龙礼俗）,省级,民俗,大沥镇,端午节|老龙礼俗,1,32,端午节(32)
麦边舞龙,市级,传统舞蹈,里水镇,舞龙,6,32,舞龙(20)|盐步舞龙队(4)|舞龙灯(2)|舞龙自选套路(2)|麦边舞龙队(2)|狮舞龙腾(2)
官窑生菜会,省级,民俗,狮山镇,生菜会,4,31,生菜会(20)|官窑生菜会(5)|生菜(3)|南海生菜会(3)
北村生菜会,市级,民俗,大沥镇,生菜会,4,31,生菜会(20)|官窑生菜会(5)|生菜(3)|南海生菜会(3)
南海剪纸,区级,传统美术,桂城街道,剪纸,3,30,剪纸(16)|佛山剪纸(12)|剪纸小挂灯(2)
平地观音诞,区级,民俗,大沥镇,平地观音诞,2,29,观音(18)|观音诞(11)
十番音乐（佛山十番）,国家级,传统音乐,桂城街道,十番|十番音乐,4,26,十番(13)|十番锣鼓(6)|佛山十番(4)|十番音乐(3)
佛山十番（同乐堂十番）,市级,传统音乐,桂城街道,十番,4,26,十番(13)|十番锣鼓(6)|佛山十番(4)|十番音乐(3)
大头佛,市级,传统舞蹈,西樵镇,大头佛,2,21,大头佛(19)|舞大头佛(2)
香云纱（坯纱）织造技艺,市级,传统技艺,西樵镇,香云纱（坯纱）|香云纱（坯纱）织造技艺,2,21,香云纱(19)|云纱(2)
黄岐龙母诞,市级,民俗,大沥镇,龙母诞,3,21,龙母诞(17)|龙母(2)|黄岐龙母诞(2)
大头佛（民乐大头佛）,区级,传统舞蹈,西樵镇,大头佛,2,21,大头佛(19)|舞大头佛(2)
丹灶葛洪炼丹传说,市级,民间文学,丹灶镇,葛洪炼丹传说,1,18,葛洪(18)
花灯制作技艺,区级,传统技艺,桂城街道,花灯|花灯制作技艺,5,18,花灯(4)|莲花灯(4)|乐安花灯(4)|乐安花灯会(4)|黄飞鸿大闹花灯(2)
西樵白眉武术,区级,传统体育,西樵镇,白眉武术,1,18,武术(18)
庙会（大仙诞庙会）,省级,民俗,西樵镇,大仙诞庙会|庙会,3,17,庙会(9)|佛山祖庙庙会(4)|大仙诞(4)
灯会（乐安花灯会）,省级,民俗,桂城街道,乐安花灯会|灯会,4,15,花灯(4)|乐安花灯(4)|乐安花灯会(4)|提灯会(3)
