name,level,category,town
狮舞（广东醒狮）,国家级,传统舞蹈,西樵镇
十番音乐（佛山十番）,国家级,传统音乐,桂城街道
官窑生菜会,省级,民俗,狮山镇
灯会（乐安花灯会）,省级,民俗,桂城街道
九江双蒸酒酿制技艺,省级,传统技艺,九江镇
赛龙舟（九江传统龙舟）,省级,传统体育,九江镇
端午节（盐步老龙礼俗）,省级,民俗,大沥镇
咏春拳（叶问宗支）,省级,传统体育,桂城街道
藤编（大沥）,省级,传统技艺,大沥镇
藤编（里水）,省级,传统技艺,里水镇
金箔锻造技艺,省级,传统技艺,大沥镇
庙会（大仙诞庙会）,省级,民俗,西樵镇
粤曲,省级,曲艺,桂城街道
糕点制作技艺（九江煎堆制作技艺）,省级,传统技艺,九江镇
九江鱼花生产习俗,省级,民俗,九江镇
家具制作技艺（广式家具制作技艺）,省级,传统技艺,九江镇
洪拳（南海洪拳）,省级,传统体育,西樵镇
龙舟说唱,市级,曲艺,桂城街道
白眉拳,市级,传统体育,里水镇
大头佛,市级,传统舞蹈,西樵镇
南海灰塑,市级,传统美术,狮山镇
三山咸水歌,市级,传统音乐,桂城街道
西樵传统缫丝技艺,市级,传统技艺,西樵镇
麦边舞龙,市级,传统舞蹈,里水镇
南海竹编,市级,传统技艺,丹灶镇
西樵大饼制作技艺,市级,传统技艺,西樵镇
香云纱（坯纱）织造技艺,市级,传统技艺,西樵镇
九江灯谜,市级,民俗,九江镇
丹灶葛洪炼丹传说,市级,民间文学,丹灶镇
华岳心意六合八法拳,市级,传统体育,大沥镇
叠滘弯道赛龙船,市级,传统体育,桂城街道
祠堂祭祖（平地黄氏冬祭）,市级,民俗,大沥镇
黄岐龙母诞,市级,民俗,大沥镇
烧番塔（松塘）,市级,民俗,西樵镇
赤山跳火光习俗,市级,民俗,桂城街道
唢呐制作技艺,市级,传统技艺,桂城街道
平洲传统玉器制作技艺,市级,传统技艺,桂城街道
广绣（石石肯）,市级,传统美术,桂城街道
佛山十番（同乐堂十番）,市级,传统音乐,桂城街道
北村生菜会,市级,民俗,大沥镇
烧番塔（仙岗）,市级,民俗,丹灶镇
周家拳,市级,传统体育,九江镇
九江鱼筛编织技艺,市级,传统技艺,九江镇
粤剧,区级,传统戏剧,西樵镇
佛鹤狮头制作,区级,传统技艺,桂城街道
赤坎盲公话,区级,民间文学,大沥镇
南海农谚,区级,民间文学,南海区
西樵山传说,区级,民间文学,西樵镇
里水毛巾织造技艺,区级,传统技艺,里水镇
南海醒狮（采青技艺）,区级,传统舞蹈,西樵镇
花灯制作技艺,区级,传统技艺,桂城街道
西联村神诞,区级,民俗,桂城街道
简村北帝庙会,区级,民俗,狮山镇
松塘村孔子诞,区级,民俗,西樵镇
松塘村'出色'巡游,区级,民俗,西樵镇
大沥锦龙盛会,区级,民俗,大沥镇
大沥狮子会,区级,民俗,大沥镇
狮中冥王诞,区级,民俗,桂城街道
平地观音诞,区级,民俗,大沥镇
南海鼓乐,区级,传统音乐,桂城街道
万石辘木马,区级,传统体育,桂城街道
万石舞青火龙,区级,传统舞蹈,桂城街道
南海广式旺阁酱油酿造技艺,区级,传统技艺,桂城街道
西樵白眉武术,区级,传统体育,西樵镇
龙形拳,区级,传统体育,桂城街道
沙皮狗斗狗习俗,区级,民俗,大沥镇
大头佛（民乐大头佛）,区级,传统舞蹈,西樵镇
传统龙舟（丹灶扒龙舟）,区级,传统体育,丹灶镇
汉字书法（康体）,区级,传统美术,丹灶镇
苏村拜斗,区级,民俗,大沥镇
木作工具制作技艺,区级,传统技艺,桂城街道
百西村头村六祖诞,区级,民俗,丹灶镇
南海牛皮鼓制作技艺,区级,传统技艺,桂城街道
南海剪纸,区级,传统美术,桂城街道
鹰爪拳,区级,传统体育,九江镇
蔡李佛拳,区级,传统体育,桂城街道
水菱角制作技艺,区级,传统技艺,西樵镇
广式烧腊制作技艺,区级,传统技艺,桂城街道
中医传统制剂方法（冯了性传统膏方制作技艺）,区级,传统医药,桂城街道
咸鸭蛋腌制技艺（南海）,区级,传统技艺,桂城街道
冯伯成传说,区级,民间文学,桂城街道
五郎八卦棍（鲁岗谢家）,区级,传统体育,大沥镇
洪拳功夫推拿,区级,传统医药,西樵镇
广式月饼制作技艺（南海）,区级,传统技艺,桂城街道
九江刀制作技艺,区级,传统技艺,九江镇
九江鹤装狮头制作技艺,区级,传统技艺,九江镇
酱油酿造技艺（九江酱油酿造技艺）,区级,传统技艺,九江镇
下东村周将军诞,区级,民俗,九江镇
酿鲮鱼制作技艺（南海）,区级,传统技艺,桂城街道
蛋散制作技艺（丹灶）,区级,传统技艺,丹灶镇
传统中医药文化（保愈堂传统中医文化）,区级,传统医药,桂城街道
