record_id,source_file,source_type,resource_class,sub_class,level,name,era,address,town,target_geometry,lng,lat,spatial_method,spatial_confidence,matched_existing_anchor,matched_poi,dedup_status,dedup_match,centroid_town
IH_0001,不可移动文物Excel.xls,不可移动文物,石窟寺及石刻,碑刻,尚未核定公布为文物保护单位的不可移动文物,果岗江孔殷桅杆夹,清代,广东省佛山市南海区狮山镇罗村联和社区居委会果岗村联和大道旁江氏宗祠前,狮山镇,point,113.030542,23.122685,address_token_centroid,0.72,,狮山 (876 points),new_candidate,,狮山镇
IH_0002,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,市级和县级文物保护单位,字祖庙,清代,广东省佛山市南海区西樵镇樵园社区西樵山白云洞风景区,西樵镇,point,112.964474,22.933739,existing_anchor_name,0.98,字祖庙,,duplicate_existing_anchor,字祖庙,西樵镇
IH_0003,不可移动文物Excel.xls,不可移动文物,古建筑,寺观塔阁（及其他宗教建筑）,省级文物保护单位,象林塔,清代,广东省佛山市南海区西樵镇樵园社区西樵山白云洞风景区,西樵镇,point,112.963822,22.933414,existing_anchor_name,0.98,象林塔,,duplicate_existing_anchor,象林塔,西樵镇
IH_0004,不可移动文物Excel.xls,不可移动文物,近现代重要史迹及代表性建筑,名人墓,市级和县级文物保护单位,冯夏威墓,近现代,广东省佛山市南海区西樵镇樵园社区蟠龙洞洞口,西樵镇,point,112.975303,22.940864,existing_anchor_name,0.98,冯夏威墓,,duplicate_existing_anchor,冯夏威墓,西樵镇
IH_0005,不可移动文物Excel.xls,不可移动文物,古建筑,桥涵码头,尚未核定公布为文物保护单位的不可移动文物,环溪安宁桥,清代,广东省佛山市南海区桂城街道夏南一社区居委会环溪村司马里对面,桂城街道,point,113.15563,23.044054,address_token_centroid,0.72,,桂城街 (925 points),new_candidate,,桂城街道
IH_0006,不可移动文物Excel.xls,不可移动文物,古墓葬,普通墓葬,市级和县级文物保护单位,娥媚坑竹西岗墓群,战国秦汉,广东省佛山市南海区桂城街道林岳社区居委会娥媚坑竹西岗,桂城街道,point,113.251149,22.998477,address_token_centroid,0.62,,林岳社区 (1 points),new_candidate,,桂城街道
IH_0007,不可移动文物Excel.xls,不可移动文物,古文化遗址,寺庙遗址,省级文物保护单位,西华寺遗址,"隋唐五代十国,宋辽西夏金元,明代,清代",广东省佛山市南海区里水镇草场社区居委会石门山南麓西华村西华街13号,里水镇,point,113.138868,23.223757,town_representative_point,0.38,,,new_candidate,,里水镇
IH_0008,不可移动文物Excel.xls,不可移动文物,古文化遗址,聚落址,尚未核定公布为文物保护单位的不可移动文物,太监岗遗址,新石器时代,广东省佛山市南海区西樵镇山根社区居委会太监岗,西樵镇,point,112.985257,22.935854,address_token_centroid,0.72,,西樵镇山 (30 points),new_candidate,,西樵镇
IH_0009,不可移动文物Excel.xls,不可移动文物,古建筑,亭台楼阙（及其他景观建筑、戏曲演出建筑、天文观测建筑）,尚未核定公布为文物保护单位的不可移动文物,石龙大夫第门楼,清代,广东省佛山市南海区西樵镇七星村委会石龙里大夫第巷1号,西樵镇,point,112.935322,22.941121,town_representative_point,0.38,,,new_candidate,,西樵镇
IH_0010,不可移动文物Excel.xls,不可移动文物,近现代重要史迹及代表性建筑,其他近现代代表性建筑,尚未核定公布为文物保护单位的不可移动文物,西岸接源亭,近现代,广东省佛山市南海区西樵镇西岸社区居委会银坑村接源桥侧,西樵镇,point,112.935322,22.941121,town_representative_point,0.38,,,new_candidate,,西樵镇
