id,name,category,original_type,address,town,lng,lat,rating,source,has_nonheritage,has_cultural_anchor,nonheritage_match,cultural_anchors,query_type,original_category,is_cultural_tourism
B0FFIZPS1X,五斗水闸牌坊,人文古迹,风景名胜;风景名胜相关;旅游景点,五斗大道中与五斗大道东交叉口北20米,桂城街道,113.20803,23.013883,4.3,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFGA58BQ,银坑村祠堂(乡约),人文古迹,风景名胜;风景名胜;风景名胜,庆云大道西北侧,西樵镇,112.883841,22.858808,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFFEOXGO,拱北公园,公园绿地,风景名胜;公园广场;公园,兴隆大街66铺,里水镇,113.122488,23.115259,4.3,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B0FFGZ0A5W,恒大御景半岛钟楼,公园绿地,风景名胜;风景名胜;风景名胜,村前大路与新村一路交叉口东160米,里水镇,113.206273,23.185379,4.3,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B0FFFU6C0S,大德社区活动公园,公园绿地,风景名胜;公园广场;公园,平洲大德社区,桂城街道,113.195306,23.034234,4,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B02F507LDP,马大将军庙,宗教场所,风景名胜;风景名胜;寺庙道观,金桔园4号,桂城街道,113.149013,23.004873,3.9,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F5045QD,真成周公祠,人文古迹,风景名胜;风景名胜;寺庙道观,里水镇和桂工业园石塘上北村大街十一巷1号,里水镇,113.093316,23.277428,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F50V3ZM,基督教里水堂,宗教场所,风景名胜;风景名胜;教堂,环镇南路与里水大道交叉口西北200米,里水镇,113.150468,23.180009,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F507JSS,大沥公园,公园绿地,风景名胜;公园广场;公园,兴隆街1号,大沥镇,113.12273,23.111971,4.3,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFIOXZ4F,祖盛徐公祠,人文古迹,风景名胜;风景名胜相关;旅游景点,八甲村,狮山镇,112.931265,23.089919,3.9,api,FALSE,TRUE,,恒德徐公祠,旅游景点,自然景观,TRUE
B0FFI2ATL2,胡氏宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,伴仙港新村四巷与伴北路交叉口西北100米,里水镇,113.133419,23.180881,3.9,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFI29O18,罗城三眼井,自然景观,风景名胜;风景名胜相关;旅游景点,济南路与罗城工业大道交叉口西北240米,里水镇,113.141389,23.1262,4.2,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B0FFH42V09,慕道马公祠,人文古迹,风景名胜;风景名胜相关;旅游景点,里大线与里水通道交叉口东北80米,里水镇,113.163914,23.201289,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFGAUTTN,寨边五队李氏宗祠,人文古迹,风景名胜;风景名胜相关;旅游景点,罗村街道寨边村五队,狮山镇,113.05529,23.052069,3.9,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFFZ1P4M,潘氏宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,永青路与永平村东街交叉口西北60米,里水镇,113.17906,23.080363,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F50Y7VB,茶基三圣宫,宗教场所,风景名胜;风景名胜;寺庙道观,叠南茶基村428号,桂城街道,113.125265,23.052211,4.2,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F50UZ0J,芦溪公园,公园绿地,风景名胜;公园广场;公园,狮山镇芦塘小学,狮山镇,113.04637,23.068734,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F5077P8,观音古庙,宗教场所,风景名胜;风景名胜;寺庙道观,西樵镇崇南窦头村,西樵镇,112.988079,22.964669,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F5076X1,和桂文化广场,公园绿地,风景名胜;公园广场;城市广场,和顺和桂工业园首期和桂大道8号,里水镇,113.097516,23.266155,3.9,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B0FFI2NKOS,刘氏宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,布新大道与339村道交叉口南340米,大沥镇,113.105078,23.208956,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFI8R7U0,大藤水岸公园,公园绿地,风景名胜;公园广场;公园,,狮山镇,112.968019,23.072709,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B0FFF9YW23,南国桃园-南海观音寺-三圣殿,宗教场所,风景名胜;风景名胜相关;旅游景点,凤凰路南国桃园南海观音寺(东北角),大沥镇,113.109446,23.177103,4.4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFHQ82GN,南海区基督教官窑堂,宗教场所,风景名胜;风景名胜;教堂,驿园西路55号,狮山镇,113.074741,23.22898,3.9,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFI47T13,大石古庙公园,公园绿地,风景名胜;公园广场;公园,里水镇大石工业区(二圣古庙旁),里水镇,113.127932,23.197279,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFHTZ1CY,玄武庙,宗教场所,风景名胜;风景名胜;寺庙道观,大沥镇盐步东秀官田村,大沥镇,113.202008,23.090113,4.3,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFGPUY2E,慧庆禅寺,宗教场所,风景名胜;风景名胜;寺庙道观,佛下段,狮山镇,113.019029,23.06951,4.2,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFF9QSF5,百岁祠,人文古迹,风景名胜;风景名胜;寺庙道观,狮山镇穆院村新誉洞,狮山镇,113.026602,23.109361,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F50WJ1N,蛇三公园,公园绿地,风景名胜;公园广场;公园,龙蛇三村东街,里水镇,113.135641,23.098922,4.2,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B02F50WFQ7,下沙滘文化广场,公园绿地,风景名胜;公园广场;城市广场,丹灶大金工业区3号东南方向180米,丹灶镇,112.947552,23.052086,4.3,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F50UEO4,杜氏大宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,大沥镇黄岐白沙中心路20号,大沥镇,113.202257,23.133661,4.2,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F5077AV,大谷天后宫,宗教场所,风景名胜;风景名胜;寺庙道观,九江镇(大谷运河旁),九江镇,113.044815,22.830577,4.2,api,FALSE,TRUE,,大谷市,旅游景点,自然景观,TRUE
B02F50767M,本立黄公祠,人文古迹,风景名胜;风景名胜;寺庙道观,北环路下柏北区新村东侧约100米,狮山镇,113.02107,23.065418,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F50UEOH,信峰公园,公园绿地,风景名胜;公园广场;公园,里水镇壮尤坊,里水镇,113.166471,23.201059,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F507B10,张边南公园,公园绿地,风景名胜;公园广场;公园,大沥镇高边村,大沥镇,113.096157,23.11927,4.3,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B0FFHS6566,郭氏宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,沙云线与禅西大道辅路交叉口西160米,大沥镇,113.067262,23.062151,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFHLTQ3Y,善薮吴公祠,人文古迹,风景名胜;风景名胜;寺庙道观,荔庄西区西北门闸口,里水镇,113.133878,23.110373,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFGJBA03,麦氏宗祠(不对外开放),人文古迹,风景名胜;风景名胜相关;旅游景点,巷心街西与右江村新村街交叉口西北480米,丹灶镇,112.955626,23.049197,3.9,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F5078F5,曾氏宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,狮山镇新发路,狮山镇,112.993361,23.072428,3.9,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F507708,宝莲寺,宗教场所,风景名胜;风景名胜;寺庙道观,西樵镇江边村,西樵镇,112.963174,22.911141,4,api,FALSE,TRUE,,佛子庙镇头遗址,旅游景点,自然景观,TRUE
B0FFH43SXO,唐氏宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,S55广三高速出口西南30米,里水镇,113.1245,23.129054,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F50XH9A,雅瑶文化广场,公园绿地,风景名胜;公园广场;城市广场,雅瑶岗东村大街,里水镇,113.144797,23.129505,4.2,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B0FFIN0W3H,贤僚公园,公园绿地,风景名胜;公园广场;公园,团结街,里水镇,113.170488,23.257755,4.2,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B0FFH49B76,天南圣裔,人文古迹,风景名胜;风景名胜;风景名胜,大沥镇黄岐南村东区五巷六号,大沥镇,113.175729,23.111513,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFH989SN,九江镇望海观音寺(不对外开放),宗教场所,风景名胜;风景名胜;寺庙道观,九江镇下西乐只村,九江镇,113.006075,22.822722,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFJ5JXOQ,中共南三花工委旧址,红色文化,风景名胜;风景名胜;红色景区,沈五五巷1号,里水镇,113.141342,23.191706,4.4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F5077OQ,大镇二中公园,公园绿地,风景名胜;公园广场;公园,大沥镇大镇大道,大沥镇,113.110262,23.081638,4.2,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B02F50WG6V,中共南海县委旧址,红色文化,风景名胜;风景名胜;红色景区,狮山镇显纲村中和巷234号,狮山镇,113.100939,23.134657,4.3,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFH44AZT,十四世周公祠,人文古迹,风景名胜;风景名胜相关;旅游景点,大沥镇虹岭路横岗1队,大沥镇,113.067352,23.096202,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFIR3WFQ,黄氏宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,岗联四联村联二街五巷,大沥镇,113.105668,23.206358,3.9,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F511C42,元冈古庙,宗教场所,风景名胜;风景名胜;寺庙道观,元大线与禅炭路交叉口东北220米,大沥镇,113.085772,23.183858,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFH47SVE,罗氏宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,石塘路与松夏大道西交叉口北460米,狮山镇,113.058429,23.181952,3.9,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFG3CTQM,甘蕉公园,公园绿地,风景名胜;公园广场;公园,文林街70号,里水镇,113.142719,23.172335,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFFOF058,𧒽岗公园-魁星阁,公园绿地,风景名胜;风景名胜;风景名胜,佛平二路,桂城街道,113.146329,23.040377,4.3,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFF9XGDJ,帅府,人文古迹,风景名胜;风景名胜相关;旅游景点,泰山路与三山大道交叉口东南340米,桂城街道,113.238043,23.032801,4.2,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFF0FDHE,佛山植物园,公园绿地,风景名胜;公园广场;植物园,狮山镇兴业西路17号,狮山镇,112.99295,23.097592,4.6,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F50XHK7,市民广场,公园绿地,风景名胜;公园广场;城市广场,博爱路附近,狮山镇,113.002752,23.119338,4,api,FALSE,FALSE,,,旅游景点,自然景观,FALSE
B0FFI5QK1X,唐氏大宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,文文线与三槐里大街交叉口东南380米,里水镇,113.156659,23.246521,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFH4AE58,谭氏宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,,里水镇,113.15614,23.236106,3.7,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F503RDN,南庄张公祠,人文古迹,风景名胜;风景名胜;寺庙道观,迎龙路1号,大沥镇,113.101194,23.133192,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFJ0DV69,江美麦氏宗祠,人文古迹,风景名胜;风景名胜相关;旅游景点,狮山镇兴业北路(贝奇科技工业园东北侧约200米),狮山镇,112.979843,23.161462,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFH3ZEI7,何氏大宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,狮山镇大榄一村,狮山镇,113.028958,23.190678,3.9,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F50UVAK,上街公园,公园绿地,风景名胜;公园广场;公园,大沥镇颜峰上街村,大沥镇,113.083965,23.135734,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B02F506TPF,观荣何公祠,人文古迹,风景名胜;风景名胜;寺庙道观,富山路12号,狮山镇,112.987068,23.14306,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFJKIBZ7,胜利公园,公园绿地,风景名胜;公园广场;公园,里水镇胜利村,里水镇,113.180723,23.19054,3.9,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFJ49GKR,莫氏宗祠,人文古迹,风景名胜;风景名胜;风景名胜,百东互通与保台线交叉口东240米,丹灶镇,112.929638,22.974353,4,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
B0FFI88KH1,程氏大宗祠,人文古迹,风景名胜;风景名胜;寺庙道观,西樵伊洛村新村南一街,西樵镇,112.947512,22.970814,4.1,api,FALSE,FALSE,,,旅游景点,自然景观,TRUE
