Pearson,CMI,OAI,THI,MI,POI_500m,Rating_500m,Review_500m
CMI,1.0,0.264,0.011,-0.585,-0.089,-0.005,0.029
OAI,0.264,1.0,0.146,-0.461,-0.019,0.121,0.127
THI,0.011,0.146,1.0,0.684,0.446,0.865,0.738
MI,-0.585,-0.461,0.684,1.0,0.387,0.601,0.486
POI_500m,-0.089,-0.019,0.446,0.387,1.0,0.241,0.351
Rating_500m,-0.005,0.121,0.865,0.601,0.241,1.0,0.427
Review_500m,0.029,0.127,0.738,0.486,0.351,0.427,1.0

Spearman,CMI,OAI,THI,MI,POI_500m,Rating_500m,Review_500m
CMI,1.0,0.249,0.023,-0.544,0.035,0.038,-0.003
OAI,0.249,1.0,0.125,-0.439,0.094,0.082,0.124
THI,0.023,0.125,1.0,0.671,0.861,0.773,0.934
MI,-0.544,-0.439,0.671,1.0,0.549,0.532,0.654
POI_500m,0.035,0.094,0.861,0.549,1.0,0.583,0.656
Rating_500m,0.038,0.082,0.773,0.532,0.583,1.0,0.704
Review_500m,-0.003,0.124,0.934,0.654,0.656,0.704,1.0
