Pearson (n=7),POI_Total,Material_Count,NH_Total,CMI_mean,OAI_mean,THI_mean,MI_mean
POI_Total,1.0,-0.475,0.372,0.04,0.693,0.314,0.037
Material_Count,-0.475,1.0,0.065,0.584,0.029,0.426,0.157
NH_Total,0.372,0.065,1.0,-0.323,0.289,0.66,0.782
CMI_mean,0.04,0.584,-0.323,1.0,0.227,0.113,-0.493
OAI_mean,0.693,0.029,0.289,0.227,1.0,0.702,0.242
THI_mean,0.314,0.426,0.66,0.113,0.702,1.0,0.758
MI_mean,0.037,0.157,0.782,-0.493,0.242,0.758,1.0

Spearman (n=7),POI_Total,Material_Count,NH_Total,CMI_mean,OAI_mean,THI_mean,MI_mean
POI_Total,1.0,-0.453,-0.107,0.214,0.536,0.306,-0.018
Material_Count,-0.453,1.0,0.256,0.453,-0.039,0.338,0.089
NH_Total,-0.107,0.256,1.0,-0.321,0.071,0.45,0.631
CMI_mean,0.214,0.453,-0.321,1.0,-0.25,-0.108,-0.523
OAI_mean,0.536,-0.039,0.071,-0.25,1.0,0.739,0.396
THI_mean,0.306,0.338,0.45,-0.108,0.739,1.0,0.791
MI_mean,-0.018,0.089,0.631,-0.523,0.396,0.791,1.0
