spot_name,poi_id,poi_name,poi_category,poi_town,poi_lng,poi_lat,is_cultural_tourism,match_score,match_method,is_auto_matched,need_manual_review
飞阅中国-无限视界(西樵山),B02F5076F0,西樵山风景名胜区,自然景观,西樵镇,112.976074,22.908475,True,93.0,alias_core,True,False
超越(西樵山)越野车基地,B02F5076F0,西樵山风景名胜区,自然景观,西樵镇,112.976074,22.908475,True,93.0,alias_core,True,False
悦城龙母祖庙(龙母庙),B0K229G3RK,龙母庙,宗教场所,丹灶镇,112.990348,22.823562,True,95.0,alias_exact,True,False
81天飞越五大洲·幻境飞行剧场(顺联公园里季华东店),B0GR6O2TKA,顺联公园里季华东店(3号门),商业服务,桂城街道,113.160022,23.016228,False,95.0,alias_exact,True,False
颠倒博物馆(万达广场佛山南海店),B0FFG0DY2E,万达广场佛山南海店(6号门),商业服务,桂城街道,113.152249,23.066464,False,95.0,alias_exact,True,False
梯面绿道(一线天),B0FFG2CLW7,一线天,自然景观,西樵镇,112.959465,22.935093,True,95.0,alias_exact,True,False
南海观音,B0FFG0YUHE,南海观音寺,宗教场所,大沥镇,113.108714,23.175651,True,76.0,contain,False,True
南村公园,B02F50WYZN,桥南村公园,公园绿地,里水镇,113.163716,23.198192,True,76.0,contain,False,True
南海樵山文化中心,B0FFKZDQA6,樵山文化中心,文化场馆,西樵镇,112.95997,22.934058,True,71.2,contain,False,True
西樵山风景名胜区-宗教林,B02F5076F0,西樵山风景名胜区,自然景观,西樵镇,112.976074,22.908475,True,69.1,contain,False,True
儿童成长主题乐园,B0FFJEQYNF,贝儿健儿童成长主题乐园(源富广场店),休闲娱乐,狮山镇,113.096329,23.141043,True,69.1,contain,False,True
中央广播电视总台南海影视城-拓展区北区,B0HR0MT89C,中央广播电视总台南海影视城(北3门),商业服务,狮山镇,113.107153,23.191514,False,68.6,contain,False,True
广东千古情,,广东千古情景区,休闲娱乐,西樵镇,112.961979,22.948486,True,67.9,contain,False,True
博爱湖公园,B0HBR57B8T,博爱湖公园北区,公园绿地,狮山镇,112.984615,23.130036,True,67.9,contain,False,True
桃园高尔夫,B02F506TW0,桃园高尔夫会所,体育运动,大沥镇,113.096736,23.187074,False,67.9,contain,False,True
金沙洲天空之眼摩天轮,B0FFIKDTX5,天空之眼摩天轮(金沙洲万达广场),休闲娱乐,里水镇,113.197274,23.140697,True,66.5,contain,False,True
梦里水乡百花园不夜城,B0FFHF702W,梦里水乡百花园,公园绿地,里水镇,113.174503,23.226727,True,66.5,contain,False,True
清远市体育中心-体育场,B0H0J7X2FW,南海区体育中心体育场,体育运动,狮山镇,113.007754,23.115816,False,66.5,contain,False,True
西樵山-白云洞风景区,B02F5077T5,白云洞风景区,自然景观,西樵镇,112.962325,22.933011,False,63.3,contain,False,True
广州市儿童公园,B02F5079WX,桂城儿童公园,公园绿地,桂城街道,113.209412,23.037355,True,63.3,contain,False,True
佛山耕山小寨,B0H06HFNWL,耕山小寨,自然景观,丹灶镇,112.891372,23.021509,False,63.3,contain,False,True
欢乐世界,B0FFJ29U41,咚咚欢乐世界(和信广场店),休闲娱乐,狮山镇,113.000758,23.123628,True,63.3,contain,False,True
黄大仙祠,B0FFKJD696,西樵黄大仙祠,人文古迹,西樵镇,112.97084,22.910117,True,63.3,contain,False,True
汇丰银行旧址,B0FFFAQ2KJ,汇丰银行(佛山分行),商业服务,桂城街道,113.149473,23.055847,False,63.3,contain,False,True
南海体育中心-体育馆,B0HGV5Q8L6,南海体育中心,体育运动,狮山镇,113.008733,23.11687,False,63.3,contain,False,True
南沙耕山小寨,B0H06HFNWL,耕山小寨,自然景观,丹灶镇,112.891372,23.021509,False,63.3,contain,False,True
中山市儿童公园,B02F5079WX,桂城儿童公园,公园绿地,桂城街道,113.209412,23.037355,True,63.3,contain,False,True
香云纱博物馆,B0FFKM9807,南海西樵香云纱博物馆,文化场馆,西樵镇,112.92976,22.97407,True,57.0,contain,False,True
南沙天后宫,B0H62CZH3V,天后宫,宗教场所,丹灶镇,112.938167,22.981387,True,57.0,contain,False,True
观音寺,B0FFG0YUHE,南海观音寺,宗教场所,大沥镇,113.108714,23.175651,True,57.0,contain,False,True
佛山财神庙,B0FFFEOUOF,财神庙,宗教场所,大沥镇,113.126972,23.09602,True,57.0,contain,False,True
海上世界文化艺术中心,B0I2YDRIF8,文化艺术中心,文化场馆,里水镇,113.20033,23.133643,True,57.0,contain,False,True
资政大夫祠,B0FFHS5G1Y,大夫祠,人文古迹,大沥镇,113.083468,23.066242,True,57.0,contain,False,True
白沙龙母庙,B0K229G3RK,龙母庙,宗教场所,丹灶镇,112.990348,22.823562,True,57.0,contain,False,True
广州大学城体育中心体育场,B0H0J7X2FW,南海区体育中心体育场,体育运动,狮山镇,113.007754,23.115816,False,55.4,contain,False,True
西樵山观光索道,B0FFG1QYZE,西樵山观光索道上站售票处,自然景观,西樵镇,112.961043,22.933017,False,55.4,contain,False,True
大湾区文化体育中心-体育场,B0H0J7X2FW,南海区体育中心体育场,体育运动,狮山镇,113.007754,23.115816,False,55.4,contain,False,True
卡朋西餐(铂顿城店),B0FFI918H0,卡多多卡朋西餐(嘉洲广场),餐饮住宿,大沥镇,113.183762,23.111019,False,54.3,contain,False,True
西樵山风景名胜区-西樵环山花海,B02F5076F0,西樵山风景名胜区,自然景观,西樵镇,112.976074,22.908475,True,54.3,contain,False,True
七星岩摩崖石刻,B0FFFWH2CH,摩崖石刻,人文古迹,西樵镇,112.975743,22.932326,True,54.3,contain,False,True
深井烧鹅博物馆(长洲岛店),B0FFKV9JH8,深井烧鹅(兴业广场店),餐饮住宿,狮山镇,112.983125,23.206637,False,54.3,contain,False,True
珠江钢琴创梦园,B0FFIN9PEU,珠江钢琴(广百广场店),商业服务,里水镇,113.200716,23.177677,False,54.3,contain,False,True
